Stop Name,NextBus ID,,,,Peak Service,,,,,,,,,,,,,,,,,,Peak Service,,,,,,,,,,,,,,,,,,,,,,,,,
Guelph Central Station,800,5:45 AM,6:15 AM,6:45 AM,7:00 AM,7:20 AM,7:40 AM,8:00 AM,8:20 AM,8:40 AM,9:00 AM,9:20 AM,9:40 AM,10:00 AM,10:15 AM,10:45 AM,11:15 AM,11:45 AM,12:15 PM,12:45 PM,1:15 PM,1:45 PM,2:00 PM,2:20 PM,2:40 PM,3:00 PM,3:20 PM,3:40 PM,4:00 PM,4:20 PM,4:40 PM,5:00 PM,5:20 PM,5:40 PM,6:00 PM,6:15 PM,6:45 PM,7:15 PM,7:45 PM,8:15 PM,8:45 PM,9:15 PM,9:45 PM,10:15 PM,10:45 PM,11:15 PM,11:45 PM,12:15 AM
Wyndham St. S. at Farquhar St.,801,5:45 AM,6:15 AM,6:45 AM,7:00 AM,7:20 AM,7:40 AM,8:00 AM,8:20 AM,8:40 AM,9:00 AM,9:20 AM,9:40 AM,10:00 AM,10:15 AM,10:45 AM,11:15 AM,11:45 AM,12:15 PM,12:45 PM,1:15 PM,1:45 PM,2:00 PM,2:20 PM,2:40 PM,3:00 PM,3:20 PM,3:40 PM,4:00 PM,4:20 PM,4:40 PM,5:00 PM,5:20 PM,5:40 PM,6:00 PM,6:15 PM,6:45 PM,7:15 PM,7:45 PM,8:15 PM,8:45 PM,9:15 PM,9:45 PM,10:15 PM,10:45 PM,11:15 PM,11:45 PM,12:15 AM
Wellington St. E. at KFC,802,5:48 AM,6:18 AM,6:48 AM,7:04 AM,7:24 AM,7:44 AM,8:04 AM,8:24 AM,8:44 AM,9:04 AM,9:24 AM,9:43 AM,10:03 AM,10:18 AM,10:48 AM,11:18 AM,11:48 AM,12:18 PM,12:48 PM,1:18 PM,1:48 PM,2:04 PM,2:24 PM,2:44 PM,3:04 PM,3:24 PM,3:44 PM,4:04 PM,4:24 PM,4:44 PM,5:04 PM,5:24 PM,5:43 PM,6:03 PM,6:18 PM,6:48 PM,7:18 PM,7:48 PM,8:18 PM,8:48 PM,9:18 PM,9:48 PM,10:18 PM,10:48 PM,11:18 PM,11:48 PM,12:18 AM
Gordon St. at Water St.,803,5:48 AM,6:18 AM,6:48 AM,7:04 AM,7:24 AM,7:44 AM,8:04 AM,8:24 AM,8:44 AM,9:04 AM,9:24 AM,9:43 AM,10:03 AM,10:18 AM,10:48 AM,11:18 AM,11:48 AM,12:18 PM,12:48 PM,1:18 PM,1:48 PM,2:04 PM,2:24 PM,2:44 PM,3:04 PM,3:24 PM,3:44 PM,4:04 PM,4:24 PM,4:44 PM,5:04 PM,5:24 PM,5:43 PM,6:03 PM,6:18 PM,6:48 PM,7:18 PM,7:48 PM,8:18 PM,8:48 PM,9:18 PM,9:48 PM,10:18 PM,10:48 PM,11:18 PM,11:48 PM,12:18 AM
Water St. at McCrae Blvd.,804,5:48 AM,6:18 AM,6:48 AM,7:04 AM,7:24 AM,7:44 AM,8:04 AM,8:24 AM,8:44 AM,9:04 AM,9:24 AM,9:43 AM,10:03 AM,10:18 AM,10:48 AM,11:18 AM,11:48 AM,12:18 PM,12:48 PM,1:18 PM,1:48 PM,2:04 PM,2:24 PM,2:44 PM,3:04 PM,3:24 PM,3:44 PM,4:04 PM,4:24 PM,4:44 PM,5:04 PM,5:24 PM,5:43 PM,6:03 PM,6:18 PM,6:48 PM,7:18 PM,7:48 PM,8:18 PM,8:48 PM,9:18 PM,9:48 PM,10:18 PM,10:48 PM,11:18 PM,11:48 PM,12:18 AM
Water St. at Maple St.,805,5:51 AM,6:21 AM,6:51 AM,7:08 AM,7:28 AM,7:48 AM,8:08 AM,8:28 AM,8:48 AM,9:08 AM,9:28 AM,9:46 AM,10:06 AM,10:21 AM,10:51 AM,11:21 AM,11:51 AM,12:21 PM,12:51 PM,1:21 PM,1:51 PM,2:08 PM,2:28 PM,2:48 PM,3:08 PM,3:28 PM,3:48 PM,4:08 PM,4:28 PM,4:48 PM,5:08 PM,5:28 PM,5:46 PM,6:06 PM,6:21 PM,6:51 PM,7:21 PM,7:51 PM,8:21 PM,8:51 PM,9:21 PM,9:51 PM,10:21 PM,10:51 PM,11:21 PM,11:51 PM,12:21 AM
Maple St. at Forest St.,806,5:51 AM,6:21 AM,6:51 AM,7:08 AM,7:28 AM,7:48 AM,8:08 AM,8:28 AM,8:48 AM,9:08 AM,9:28 AM,9:46 AM,10:06 AM,10:21 AM,10:51 AM,11:21 AM,11:51 AM,12:21 PM,12:51 PM,1:21 PM,1:51 PM,2:08 PM,2:28 PM,2:48 PM,3:08 PM,3:28 PM,3:48 PM,4:08 PM,4:28 PM,4:48 PM,5:08 PM,5:28 PM,5:46 PM,6:06 PM,6:21 PM,6:51 PM,7:21 PM,7:51 PM,8:21 PM,8:51 PM,9:21 PM,9:51 PM,10:21 PM,10:51 PM,11:21 PM,11:51 PM,12:21 AM
Forest St. at Park,807,5:51 AM,6:21 AM,6:51 AM,7:08 AM,7:28 AM,7:48 AM,8:08 AM,8:28 AM,8:48 AM,9:08 AM,9:28 AM,9:46 AM,10:06 AM,10:21 AM,10:51 AM,11:21 AM,11:51 AM,12:21 PM,12:51 PM,1:21 PM,1:51 PM,2:08 PM,2:28 PM,2:48 PM,3:08 PM,3:28 PM,3:48 PM,4:08 PM,4:28 PM,4:48 PM,5:08 PM,5:28 PM,5:46 PM,6:06 PM,6:21 PM,6:51 PM,7:21 PM,7:51 PM,8:21 PM,8:51 PM,9:21 PM,9:51 PM,10:21 PM,10:51 PM,11:21 PM,11:51 PM,12:21 AM
Edinburgh Rd. S. at Maplewood Dr.,808,5:51 AM,6:21 AM,6:51 AM,7:08 AM,7:28 AM,7:48 AM,8:08 AM,8:28 AM,8:48 AM,9:08 AM,9:28 AM,9:46 AM,10:06 AM,10:21 AM,10:51 AM,11:21 AM,11:51 AM,12:21 PM,12:51 PM,1:21 PM,1:51 PM,2:08 PM,2:28 PM,2:48 PM,3:08 PM,3:28 PM,3:48 PM,4:08 PM,4:28 PM,4:48 PM,5:08 PM,5:28 PM,5:46 PM,6:06 PM,6:21 PM,6:51 PM,7:21 PM,7:51 PM,8:21 PM,8:51 PM,9:21 PM,9:51 PM,10:21 PM,10:51 PM,11:21 PM,11:51 PM,12:21 AM
College Ave. W. at Edinburgh Rd.,809,5:55 AM,6:25 AM,6:55 AM,7:12 AM,7:32 AM,7:52 AM,8:12 AM,8:32 AM,8:52 AM,9:12 AM,9:32 AM,9:50 AM,10:10 AM,10:25 AM,10:55 AM,11:25 AM,11:55 AM,12:25 PM,12:55 PM,1:25 PM,1:55 PM,2:12 PM,2:32 PM,2:52 PM,3:12 PM,3:32 PM,3:52 PM,4:12 PM,4:32 PM,4:52 PM,5:12 PM,5:32 PM,5:50 PM,6:10 PM,6:25 PM,6:55 PM,7:25 PM,7:55 PM,8:25 PM,8:55 PM,9:25 PM,9:55 PM,10:25 PM,10:55 PM,11:25 PM,11:55 PM,12:25 AM
College Ave. W. at Centennial ,810,5:55 AM,6:25 AM,6:55 AM,7:12 AM,7:32 AM,7:52 AM,8:12 AM,8:32 AM,8:52 AM,9:12 AM,9:32 AM,9:50 AM,10:10 AM,10:25 AM,10:55 AM,11:25 AM,11:55 AM,12:25 PM,12:55 PM,1:25 PM,1:55 PM,2:12 PM,2:32 PM,2:52 PM,3:12 PM,3:32 PM,3:52 PM,4:12 PM,4:32 PM,4:52 PM,5:12 PM,5:32 PM,5:50 PM,6:10 PM,6:25 PM,6:55 PM,7:25 PM,7:55 PM,8:25 PM,8:55 PM,9:25 PM,9:55 PM,10:25 PM,10:55 PM,11:25 PM,11:55 PM,12:25 AM
129 Janefield Ave.  ,811,5:55 AM,6:25 AM,6:55 AM,7:12 AM,7:32 AM,7:52 AM,8:12 AM,8:32 AM,8:52 AM,9:12 AM,9:32 AM,9:50 AM,10:10 AM,10:25 AM,10:55 AM,11:25 AM,11:55 AM,12:25 PM,12:55 PM,1:25 PM,1:55 PM,2:12 PM,2:32 PM,2:52 PM,3:12 PM,3:32 PM,3:52 PM,4:12 PM,4:32 PM,4:52 PM,5:12 PM,5:32 PM,5:50 PM,6:10 PM,6:25 PM,6:55 PM,7:25 PM,7:55 PM,8:25 PM,8:55 PM,9:25 PM,9:55 PM,10:25 PM,10:55 PM,11:25 PM,11:55 PM,12:25 AM
Janefield Ave. at Scottsdale Dr.,812,5:55 AM,6:25 AM,6:55 AM,7:12 AM,7:32 AM,7:52 AM,8:12 AM,8:32 AM,8:52 AM,9:12 AM,9:32 AM,9:50 AM,10:10 AM,10:25 AM,10:55 AM,11:25 AM,11:55 AM,12:25 PM,12:55 PM,1:25 PM,1:55 PM,2:12 PM,2:32 PM,2:52 PM,3:12 PM,3:32 PM,3:52 PM,4:12 PM,4:32 PM,4:52 PM,5:12 PM,5:32 PM,5:50 PM,6:10 PM,6:25 PM,6:55 PM,7:25 PM,7:55 PM,8:25 PM,8:55 PM,9:25 PM,9:55 PM,10:25 PM,10:55 PM,11:25 PM,11:55 PM,12:25 AM
