Stop Name,Stop ID,Schedule,,,,,,,,,,,,,,,,,,,
Guelph Central Station,1200,9:15 AM,9:45 AM,10:15 AM,10:45 AM,11:15 AM,11:45 AM,12:15 PM,12:45 PM,1:15 PM,1:45 PM,2:15 PM,2:45 PM,3:15 PM,3:45 PM,4:15 PM,4:45 PM,5:15 PM,5:45 PM,6:15 PM,6:45 PM
Wyndham St. N. at PharmaSave,1201,9:15 AM,9:45 AM,10:15 AM,10:45 AM,11:15 AM,11:45 AM,12:15 PM,12:45 PM,1:15 PM,1:45 PM,2:15 PM,2:45 PM,3:15 PM,3:45 PM,4:15 PM,4:45 PM,5:15 PM,5:45 PM,6:15 PM,6:45 PM
Eramosa Rd. at Bridge,1202,9:15 AM,9:45 AM,10:15 AM,10:45 AM,11:15 AM,11:45 AM,12:15 PM,12:45 PM,1:15 PM,1:45 PM,2:15 PM,2:45 PM,3:15 PM,3:45 PM,4:15 PM,4:45 PM,5:15 PM,5:45 PM,6:15 PM,6:45 PM
Delhi St. at Eramosa Rd.,1203,9:18 AM,9:48 AM,10:18 AM,10:48 AM,11:18 AM,11:48 AM,12:18 PM,12:48 PM,1:18 PM,1:48 PM,2:18 PM,2:48 PM,3:18 PM,3:48 PM,4:18 PM,4:48 PM,5:18 PM,5:48 PM,6:18 PM,6:48 PM
Delhi St. at Guelph General Hospital,1204,9:18 AM,9:48 AM,10:18 AM,10:48 AM,11:18 AM,11:48 AM,12:18 PM,12:48 PM,1:18 PM,1:48 PM,2:18 PM,2:48 PM,3:18 PM,3:48 PM,4:18 PM,4:48 PM,5:18 PM,5:48 PM,6:18 PM,6:48 PM
Delhi St. at Homewood Health Centre,1205,9:18 AM,9:48 AM,10:18 AM,10:48 AM,11:18 AM,11:48 AM,12:18 PM,12:48 PM,1:18 PM,1:48 PM,2:18 PM,2:48 PM,3:18 PM,3:48 PM,4:18 PM,4:48 PM,5:18 PM,5:48 PM,6:18 PM,6:48 PM
Delhi St. at Emma St. ,1206,9:20 AM,9:50 AM,10:20 AM,10:50 AM,11:20 AM,11:50 AM,12:20 PM,12:50 PM,1:20 PM,1:50 PM,2:20 PM,2:50 PM,3:20 PM,3:50 PM,4:20 PM,4:50 PM,5:20 PM,5:50 PM,6:20 PM,6:50 PM
Emma St. at Metcalfe St. ,1207,9:20 AM,9:50 AM,10:20 AM,10:50 AM,11:20 AM,11:50 AM,12:20 PM,12:50 PM,1:20 PM,1:50 PM,2:20 PM,2:50 PM,3:20 PM,3:50 PM,4:20 PM,4:50 PM,5:20 PM,5:50 PM,6:20 PM,6:50 PM
Emma St. at Stevenson St. ,1208,9:20 AM,9:50 AM,10:20 AM,10:50 AM,11:20 AM,11:50 AM,12:20 PM,12:50 PM,1:20 PM,1:50 PM,2:20 PM,2:50 PM,3:20 PM,3:50 PM,4:20 PM,4:50 PM,5:20 PM,5:50 PM,6:20 PM,6:50 PM
Speedvale Ave. E. at Stevenson St. ,1209,9:23 AM,9:53 AM,10:23 AM,10:53 AM,11:23 AM,11:53 AM,12:23 PM,12:53 PM,1:23 PM,1:53 PM,2:23 PM,2:53 PM,3:23 PM,3:53 PM,4:23 PM,4:53 PM,5:23 PM,5:53 PM,6:23 PM,6:53 PM
Speedvale Ave. E. at Renfield St.,1210,9:23 AM,9:53 AM,10:23 AM,10:53 AM,11:23 AM,11:53 AM,12:23 PM,12:53 PM,1:23 PM,1:53 PM,2:23 PM,2:53 PM,3:23 PM,3:53 PM,4:23 PM,4:53 PM,5:23 PM,5:53 PM,6:23 PM,6:53 PM
Speedvale Ave. E. at Acorn Pl.,1211,9:23 AM,9:53 AM,10:23 AM,10:53 AM,11:23 AM,11:53 AM,12:23 PM,12:53 PM,1:23 PM,1:53 PM,2:23 PM,2:53 PM,3:23 PM,3:53 PM,4:23 PM,4:53 PM,5:23 PM,5:53 PM,6:23 PM,6:53 PM
Victoria Rd. N. at Speedvale Ave. E.,1212,9:23 AM,9:53 AM,10:23 AM,10:53 AM,11:23 AM,11:53 AM,12:23 PM,12:53 PM,1:23 PM,1:53 PM,2:23 PM,2:53 PM,3:23 PM,3:53 PM,4:23 PM,4:53 PM,5:23 PM,5:53 PM,6:23 PM,6:53 PM
Victoria Rd. N. at Brant Ave.,1213,9:27 AM,9:57 AM,10:27 AM,10:57 AM,11:27 AM,11:57 AM,12:27 PM,12:57 PM,1:27 PM,1:57 PM,2:27 PM,2:57 PM,3:27 PM,3:57 PM,4:27 PM,4:57 PM,5:27 PM,5:57 PM,6:27 PM,6:57 PM
Woodlawn Rd. E. at Victoria Rd. N.,1214,9:27 AM,9:57 AM,10:27 AM,10:57 AM,11:27 AM,11:57 AM,12:27 PM,12:57 PM,1:27 PM,1:57 PM,2:27 PM,2:57 PM,3:27 PM,3:57 PM,4:27 PM,4:57 PM,5:27 PM,5:57 PM,6:27 PM,6:57 PM
Windsor St. at Kingsley Crt.,1215,9:27 AM,9:57 AM,10:27 AM,10:57 AM,11:27 AM,11:57 AM,12:27 PM,12:57 PM,1:27 PM,1:57 PM,2:27 PM,2:57 PM,3:27 PM,3:57 PM,4:27 PM,4:57 PM,5:27 PM,5:57 PM,6:27 PM,6:57 PM
Waverly Dr. at Stevenson St.,1216,9:31 AM,10:01 AM,10:31 AM,11:01 AM,11:31 AM,12:01 PM,12:31 PM,1:01 PM,1:31 PM,2:01 PM,2:31 PM,3:01 PM,3:31 PM,4:01 PM,4:31 PM,5:01 PM,5:31 PM,6:01 PM,6:31 PM,7:01 PM
Metcalfe St. at Waverley Dr. ,1217,9:31 AM,10:01 AM,10:31 AM,11:01 AM,11:31 AM,12:01 PM,12:31 PM,1:01 PM,1:31 PM,2:01 PM,2:31 PM,3:01 PM,3:31 PM,4:01 PM,4:31 PM,5:01 PM,5:31 PM,6:01 PM,6:31 PM,7:01 PM
