Stop Name,NextBus ID,,,,Peak Service,,,,,,,,,,,,,,,,,,Peak Service,,,,,,,,,,,,,,,,,,,,,,,,,,
University Centre,700, - ,6:00 AM,6:30 AM, - ,7:00 AM,7:20 AM,7:40 AM,8:00 AM,8:20 AM,8:40 AM,9:00 AM,9:20 AM,9:40 AM,10:00 AM,10:30 AM,11:00 AM,11:30 AM,12:00 PM,12:30 PM,1:00 PM,1:30 PM, - ,2:00 PM,2:20 PM,2:40 PM,3:00 PM,3:20 PM,3:40 PM,4:00 PM,4:20 PM,4:40 PM,5:00 PM,5:20 PM,5:40 PM,6:00 PM,6:30 PM,7:00 PM,7:30 PM,8:00 PM,8:30 PM,9:00 PM,9:30 PM,10:00 PM,10:30 PM,11:00 PM,11:30 PM,12:00 AM,12:30 AM*
Gordon St. at Harvard Rd.,701, - ,6:03 AM,6:33 AM, - ,7:04 AM,7:24 AM,7:44 AM,8:04 AM,8:24 AM,8:44 AM,9:04 AM,9:24 AM,9:44 AM,10:03 AM,10:33 AM,11:03 AM,11:33 AM,12:03 PM,12:33 PM,1:03 PM,1:33 PM, - ,2:04 PM,2:24 PM,2:44 PM,3:04 PM,3:24 PM,3:44 PM,4:04 PM,4:24 PM,4:44 PM,5:04 PM,5:24 PM,5:44 PM,6:03 PM,6:33 PM,7:03 PM,7:33 PM,8:03 PM,8:33 PM,9:03 PM,9:33 PM,10:03 PM,10:33 PM,11:03 PM,11:33 PM,12:03 AM,12:33 AM*
Gordon St. at Kortright Rd. ,702, - ,6:03 AM,6:33 AM, - ,7:04 AM,7:24 AM,7:44 AM,8:04 AM,8:24 AM,8:44 AM,9:04 AM,9:24 AM,9:44 AM,10:03 AM,10:33 AM,11:03 AM,11:33 AM,12:03 PM,12:33 PM,1:03 PM,1:33 PM, - ,2:04 PM,2:24 PM,2:44 PM,3:04 PM,3:24 PM,3:44 PM,4:04 PM,4:24 PM,4:44 PM,5:04 PM,5:24 PM,5:44 PM,6:03 PM,6:33 PM,7:03 PM,7:33 PM,8:03 PM,8:33 PM,9:03 PM,9:33 PM,10:03 PM,10:33 PM,11:03 PM,11:33 PM,12:03 AM,12:33 AM*
Kortright Rd. W. at Yewholme Dr.,703, - ,6:03 AM,6:33 AM, - ,7:04 AM,7:24 AM,7:44 AM,8:04 AM,8:24 AM,8:44 AM,9:04 AM,9:24 AM,9:44 AM,10:03 AM,10:33 AM,11:03 AM,11:33 AM,12:03 PM,12:33 PM,1:03 PM,1:33 PM, - ,2:04 PM,2:24 PM,2:44 PM,3:04 PM,3:24 PM,3:44 PM,4:04 PM,4:24 PM,4:44 PM,5:04 PM,5:24 PM,5:44 PM,6:03 PM,6:33 PM,7:03 PM,7:33 PM,8:03 PM,8:33 PM,9:03 PM,9:33 PM,10:03 PM,10:33 PM,11:03 PM,11:33 PM,12:03 AM,12:33 AM*
Kortright Rd. W. at Rickson Ave.,704, - ,6:03 AM,6:33 AM, - ,7:04 AM,7:24 AM,7:44 AM,8:04 AM,8:24 AM,8:44 AM,9:04 AM,9:24 AM,9:44 AM,10:03 AM,10:33 AM,11:03 AM,11:33 AM,12:03 PM,12:33 PM,1:03 PM,1:33 PM, - ,2:04 PM,2:24 PM,2:44 PM,3:04 PM,3:24 PM,3:44 PM,4:04 PM,4:24 PM,4:44 PM,5:04 PM,5:24 PM,5:44 PM,6:03 PM,6:33 PM,7:03 PM,7:33 PM,8:03 PM,8:33 PM,9:03 PM,9:33 PM,10:03 PM,10:33 PM,11:03 PM,11:33 PM,12:03 AM,12:33 AM*
Kortright Rd. W. at Edinburgh Rd. S.,705, - ,6:06 AM,6:36 AM, - ,7:08 AM,7:28 AM,7:48 AM,8:08 AM,8:28 AM,8:48 AM,9:08 AM,9:28 AM,9:48 AM,10:06 AM,10:36 AM,11:06 AM,11:36 AM,12:06 PM,12:36 PM,1:06 PM,1:36 PM, - ,2:08 PM,2:28 PM,2:48 PM,3:08 PM,3:28 PM,3:48 PM,4:08 PM,4:28 PM,4:48 PM,5:08 PM,5:28 PM,5:48 PM,6:06 PM,6:36 PM,7:06 PM,7:36 PM,8:06 PM,8:36 PM,9:06 PM,9:36 PM,10:06 PM,10:36 PM,11:06 PM,11:36 PM,12:06 AM,12:36 AM*
Kortright Rd. W. at Hanlon Creek Park,706, - ,6:09 AM,6:39 AM, - ,7:12 AM,7:32 AM,7:52 AM,8:12 AM,8:32 AM,8:52 AM,9:12 AM,9:32 AM,9:52 AM,10:09 AM,10:39 AM,11:09 AM,11:39 AM,12:09 PM,12:39 PM,1:09 PM,1:39 PM, - ,2:12 PM,2:32 PM,2:52 PM,3:12 PM,3:32 PM,3:52 PM,4:12 PM,4:32 PM,4:52 PM,5:12 PM,5:32 PM,5:52 PM,6:09 PM,6:39 PM,7:09 PM,7:39 PM,8:09 PM,8:39 PM,9:09 PM,9:39 PM,10:09 PM,10:39 PM,11:09 PM,11:39 PM,12:09 AM,12:39 AM*
555 Kortright Rd. W. ,707, - ,6:09 AM,6:39 AM, - ,7:12 AM,7:32 AM,7:52 AM,8:12 AM,8:32 AM,8:52 AM,9:12 AM,9:32 AM,9:52 AM,10:09 AM,10:39 AM,11:09 AM,11:39 AM,12:09 PM,12:39 PM,1:09 PM,1:39 PM, - ,2:12 PM,2:32 PM,2:52 PM,3:12 PM,3:32 PM,3:52 PM,4:12 PM,4:32 PM,4:52 PM,5:12 PM,5:32 PM,5:52 PM,6:09 PM,6:39 PM,7:09 PM,7:39 PM,8:09 PM,8:39 PM,9:09 PM,9:39 PM,10:09 PM,10:39 PM,11:09 PM,11:39 PM,12:09 AM,12:39 AM*
Kortright Rd. W. at Hanlon Rd.,708, - ,6:09 AM,6:39 AM, - ,7:12 AM,7:32 AM,7:52 AM,8:12 AM,8:32 AM,8:52 AM,9:12 AM,9:32 AM,9:52 AM,10:09 AM,10:39 AM,11:09 AM,11:39 AM,12:09 PM,12:39 PM,1:09 PM,1:39 PM, - ,2:12 PM,2:32 PM,2:52 PM,3:12 PM,3:32 PM,3:52 PM,4:12 PM,4:32 PM,4:52 PM,5:12 PM,5:32 PM,5:52 PM,6:09 PM,6:39 PM,7:09 PM,7:39 PM,8:09 PM,8:39 PM,9:09 PM,9:39 PM,10:09 PM,10:39 PM,11:09 PM,11:39 PM,12:09 AM,12:39 AM*
Downey Rd. at Woodland Glen Dr.,709,5:41 AM,6:11 AM,6:41 AM,6:59 AM,7:15 AM,7:35 AM,7:55 AM,8:15 AM,8:35 AM,8:55 AM,9:15 AM,9:35 AM,9:55 AM,10:11 AM,10:41 AM,11:11 AM,11:41 AM,12:11 PM,12:41 PM,1:11 PM,1:41 PM,1:59 PM,2:15 PM,2:35 PM,2:55 PM,3:15 PM,3:35 PM,3:55 PM,4:15 PM,4:35 PM,4:55 PM,5:15 PM,5:35 PM,5:55 PM,6:11 PM,6:41 PM,7:11 PM,7:41 PM,8:11 PM,8:41 PM,9:11 PM,9:41 PM,10:11 PM,10:41 PM,11:11 PM,11:41 PM,12:11 AM,12:41 AM*
Niska Rd. opposite Tanager Dr.,710,5:41 AM,6:11 AM,6:41 AM,6:59 AM,7:15 AM,7:35 AM,7:55 AM,8:15 AM,8:35 AM,8:55 AM,9:15 AM,9:35 AM,9:55 AM,10:11 AM,10:41 AM,11:11 AM,11:41 AM,12:11 PM,12:41 PM,1:11 PM,1:41 PM,1:59 PM,2:15 PM,2:35 PM,2:55 PM,3:15 PM,3:35 PM,3:55 PM,4:15 PM,4:35 PM,4:55 PM,5:15 PM,5:35 PM,5:55 PM,6:11 PM,6:41 PM,7:11 PM,7:41 PM,8:11 PM,8:41 PM,9:11 PM,9:41 PM,10:11 PM,10:41 PM,11:11 PM,11:41 PM,12:11 AM,12:41 AM*
Ptarmigan Dr. at Niska Rd.,711,5:41 AM,6:11 AM,6:41 AM,6:59 AM,7:15 AM,7:35 AM,7:55 AM,8:15 AM,8:35 AM,8:55 AM,9:15 AM,9:35 AM,9:55 AM,10:11 AM,10:41 AM,11:11 AM,11:41 AM,12:11 PM,12:41 PM,1:11 PM,1:41 PM,1:59 PM,2:15 PM,2:35 PM,2:55 PM,3:15 PM,3:35 PM,3:55 PM,4:15 PM,4:35 PM,4:55 PM,5:15 PM,5:35 PM,5:55 PM,6:11 PM,6:41 PM,7:11 PM,7:41 PM,8:11 PM,8:41 PM,9:11 PM,9:41 PM,10:11 PM,10:41 PM,11:11 PM,11:41 PM,12:11 AM,12:41 AM*
Ptarmigan Dr. at Pheasant Run Dr.,712,5:41 AM,6:11 AM,6:41 AM,6:59 AM,7:15 AM,7:35 AM,7:55 AM,8:15 AM,8:35 AM,8:55 AM,9:15 AM,9:35 AM,9:55 AM,10:11 AM,10:41 AM,11:11 AM,11:41 AM,12:11 PM,12:41 PM,1:11 PM,1:41 PM,1:59 PM,2:15 PM,2:35 PM,2:55 PM,3:15 PM,3:35 PM,3:55 PM,4:15 PM,4:35 PM,4:55 PM,5:15 PM,5:35 PM,5:55 PM,6:11 PM,6:41 PM,7:11 PM,7:41 PM,8:11 PM,8:41 PM,9:11 PM,9:41 PM,10:11 PM,10:41 PM,11:11 PM,11:41 PM,12:11 AM,12:41 AM*
Ptarmigan Dr. at Downey Rd.,713,5:44 AM,6:14 AM,6:44 AM,7:02 AM,7:18 AM,7:38 AM,7:58 AM,8:18 AM,8:38 AM,8:58 AM,9:18 AM,9:38 AM,9:58 AM,10:14 AM,10:44 AM,11:14 AM,11:44 AM,12:14 PM,12:44 PM,1:14 PM,1:44 PM,2:02 PM,2:18 PM,2:38 PM,2:58 PM,3:18 PM,3:38 PM,3:58 PM,4:18 PM,4:38 PM,4:58 PM,5:18 PM,5:38 PM,5:58 PM,6:14 PM,6:44 PM,7:14 PM,7:44 PM,8:14 PM,8:44 PM,9:14 PM,9:44 PM,10:14 PM,10:44 PM,11:14 PM,11:44 PM,12:14 AM,12:44 AM*
Downey Rd. at Hazelwood Dr.,714,5:44 AM,6:14 AM,6:44 AM,7:02 AM,7:18 AM,7:38 AM,7:58 AM,8:18 AM,8:38 AM,8:58 AM,9:18 AM,9:38 AM,9:58 AM,10:14 AM,10:44 AM,11:14 AM,11:44 AM,12:14 PM,12:44 PM,1:14 PM,1:44 PM,2:02 PM,2:18 PM,2:38 PM,2:58 PM,3:18 PM,3:38 PM,3:58 PM,4:18 PM,4:38 PM,4:58 PM,5:18 PM,5:38 PM,5:58 PM,6:14 PM,6:44 PM,7:14 PM,7:44 PM,8:14 PM,8:44 PM,9:14 PM,9:44 PM,10:14 PM,10:44 PM,11:14 PM,11:44 PM,12:14 AM, - 
