Stop Name,NextBus ID,,,,Peak Service,,,,,,,,,,,,,,,,,,Peak Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gordon St. at Kortright Rd. ,510, - ,6:03 AM,6:33 AM, - ,7:04 AM,7:25 AM,7:45 AM,8:05 AM,8:25 AM,8:45 AM,9:05 AM,9:25 AM,9:45 AM,10:03 AM,10:23 AM,10:33 AM,11:03 AM,11:33 AM,12:03 PM,12:33 PM,1:03 PM,1:33 PM, - ,2:04 PM,2:25 PM,2:45 PM,3:05 PM,3:25 PM,3:45 PM,4:05 PM,4:25 PM,4:45 PM,5:05 PM,5:25 PM,5:45 PM,6:03 PM,6:23 PM,6:33 PM,7:03 PM,7:33 PM,8:03 PM,8:33 PM,9:03 PM,9:33 PM,10:03 PM,10:33 PM,11:03 PM,11:33 PM,12:03 AM,12:33 AM
Gordon St. at Harts Lane,511, - ,6:03 AM,6:33 AM, - ,7:04 AM,7:25 AM,7:45 AM,8:05 AM,8:25 AM,8:45 AM,9:05 AM,9:25 AM,9:45 AM,10:03 AM,10:23 AM,10:33 AM,11:03 AM,11:33 AM,12:03 PM,12:33 PM,1:03 PM,1:33 PM, - ,2:04 PM,2:25 PM,2:45 PM,3:05 PM,3:25 PM,3:45 PM,4:05 PM,4:25 PM,4:45 PM,5:05 PM,5:25 PM,5:45 PM,6:03 PM,6:23 PM,6:33 PM,7:03 PM,7:33 PM,8:03 PM,8:33 PM,9:03 PM,9:33 PM,10:03 PM,10:33 PM,11:03 PM,11:33 PM,12:03 AM,12:33 AM
1155 Gordon St. ,512, - ,6:03 AM,6:33 AM, - ,7:04 AM,7:25 AM,7:45 AM,8:05 AM,8:25 AM,8:45 AM,9:05 AM,9:25 AM,9:45 AM,10:03 AM,10:23 AM,10:33 AM,11:03 AM,11:33 AM,12:03 PM,12:33 PM,1:03 PM,1:33 PM, - ,2:04 PM,2:25 PM,2:45 PM,3:05 PM,3:25 PM,3:45 PM,4:05 PM,4:25 PM,4:45 PM,5:05 PM,5:25 PM,5:45 PM,6:03 PM,6:23 PM,6:33 PM,7:03 PM,7:33 PM,8:03 PM,8:33 PM,9:03 PM,9:33 PM,10:03 PM,10:33 PM,11:03 PM,11:33 PM,12:03 AM,12:33 AM
Gordon St. at Edinburgh Rd. S.,513, - ,6:03 AM,6:33 AM, - ,7:04 AM,7:25 AM,7:45 AM,8:05 AM,8:25 AM,8:45 AM,9:05 AM,9:25 AM,9:45 AM,10:03 AM,10:23 AM,10:33 AM,11:03 AM,11:33 AM,12:03 PM,12:33 PM,1:03 PM,1:33 PM, - ,2:04 PM,2:25 PM,2:45 PM,3:05 PM,3:25 PM,3:45 PM,4:05 PM,4:25 PM,4:45 PM,5:05 PM,5:25 PM,5:45 PM,6:03 PM,6:23 PM,6:33 PM,7:03 PM,7:33 PM,8:03 PM,8:33 PM,9:03 PM,9:33 PM,10:03 PM,10:33 PM,11:03 PM,11:33 PM,12:03 AM,12:33 AM
Arkell Rd. at Gordon St. ,514, - ,6:03 AM,6:33 AM, - ,7:04 AM,7:25 AM,7:45 AM,8:05 AM,8:25 AM,8:45 AM,9:05 AM,9:25 AM,9:45 AM,10:03 AM,10:23 AM,10:33 AM,11:03 AM,11:33 AM,12:03 PM,12:33 PM,1:03 PM,1:33 PM, - ,2:04 PM,2:25 PM,2:45 PM,3:05 PM,3:25 PM,3:45 PM,4:05 PM,4:25 PM,4:45 PM,5:05 PM,5:25 PM,5:45 PM,6:03 PM,6:23 PM,6:33 PM,7:03 PM,7:33 PM,8:03 PM,8:33 PM,9:03 PM,9:33 PM,10:03 PM,10:33 PM,11:03 PM,11:33 PM,12:03 AM,12:33 AM
Arkell Rd. at Ridgeway Ave.,515, - ,6:03 AM,6:33 AM, - ,7:04 AM,7:25 AM,7:45 AM,8:05 AM,8:25 AM,8:45 AM,9:05 AM,9:25 AM,9:45 AM,10:03 AM,10:23 AM,10:33 AM,11:03 AM,11:33 AM,12:03 PM,12:33 PM,1:03 PM,1:33 PM, - ,2:04 PM,2:25 PM,2:45 PM,3:05 PM,3:25 PM,3:45 PM,4:05 PM,4:25 PM,4:45 PM,5:05 PM,5:25 PM,5:45 PM,6:03 PM,6:23 PM,6:33 PM,7:03 PM,7:33 PM,8:03 PM,8:33 PM,9:03 PM,9:33 PM,10:03 PM,10:33 PM,11:03 PM,11:33 PM,12:03 AM,12:33 AM
Summerfield Dr. at Amsterdam Cres.,516, - ,6:07 AM,6:37 AM, - ,7:09 AM,7:31 AM,7:51 AM,8:11 AM,8:31 AM,8:51 AM,9:11 AM,9:31 AM,9:51 AM,10:07 AM,10:27 AM,10:37 AM,11:07 AM,11:37 AM,12:07 PM,12:37 PM,1:07 PM,1:37 PM, - ,2:09 PM,2:31 PM,2:51 PM,3:11 PM,3:31 PM,3:51 PM,4:11 PM,4:31 PM,4:51 PM,5:11 PM,5:31 PM,5:51 PM,6:07 PM,6:27 PM,6:37 PM,7:07 PM,7:37 PM,8:07 PM,8:37 PM,9:07 PM,9:37 PM,10:07 PM,10:37 PM,11:07 PM,11:37 PM,12:07 AM,12:37 AM
Summerfield Dr. at Cummings Crt.,517, - ,6:07 AM,6:37 AM, - ,7:09 AM,7:31 AM,7:51 AM,8:11 AM,8:31 AM,8:51 AM,9:11 AM,9:31 AM,9:51 AM,10:07 AM,10:27 AM,10:37 AM,11:07 AM,11:37 AM,12:07 PM,12:37 PM,1:07 PM,1:37 PM, - ,2:09 PM,2:31 PM,2:51 PM,3:11 PM,3:31 PM,3:51 PM,4:11 PM,4:31 PM,4:51 PM,5:11 PM,5:31 PM,5:51 PM,6:07 PM,6:27 PM,6:37 PM,7:07 PM,7:37 PM,8:07 PM,8:37 PM,9:07 PM,9:37 PM,10:07 PM,10:37 PM,11:07 PM,11:37 PM,12:07 AM,12:37 AM
Summerfield Dr. at Bright Lane,518, - ,6:07 AM,6:37 AM, - ,7:09 AM,7:31 AM,7:51 AM,8:11 AM,8:31 AM,8:51 AM,9:11 AM,9:31 AM,9:51 AM,10:07 AM,10:27 AM,10:37 AM,11:07 AM,11:37 AM,12:07 PM,12:37 PM,1:07 PM,1:37 PM, - ,2:09 PM,2:31 PM,2:51 PM,3:11 PM,3:31 PM,3:51 PM,4:11 PM,4:31 PM,4:51 PM,5:11 PM,5:31 PM,5:51 PM,6:07 PM,6:27 PM,6:37 PM,7:07 PM,7:37 PM,8:07 PM,8:37 PM,9:07 PM,9:37 PM,10:07 PM,10:37 PM,11:07 PM,11:37 PM,12:07 AM,12:37 AM
Summerfield Dr. at Victoria Rd. S.,519, - ,6:07 AM,6:37 AM, - ,7:09 AM,7:31 AM,7:51 AM,8:11 AM,8:31 AM,8:51 AM,9:11 AM,9:31 AM,9:51 AM,10:07 AM,10:27 AM,10:37 AM,11:07 AM,11:37 AM,12:07 PM,12:37 PM,1:07 PM,1:37 PM, - ,2:09 PM,2:31 PM,2:51 PM,3:11 PM,3:31 PM,3:51 PM,4:11 PM,4:31 PM,4:51 PM,5:11 PM,5:31 PM,5:51 PM,6:07 PM,6:27 PM,6:37 PM,7:07 PM,7:37 PM,8:07 PM,8:37 PM,9:07 PM,9:37 PM,10:07 PM,10:37 PM,11:07 PM,11:37 PM,12:07 AM,12:37 AM
Frederick Dr. at Waterford Dr. ,520,5:41 AM,6:11 AM,6:41 AM,6:57 AM,7:14 AM,7:37 AM,7:57 AM,8:17 AM,8:37 AM,8:57 AM,9:17 AM,9:37 AM,9:57 AM,10:11 AM,10:31 AM,10:41 AM,11:11 AM,11:41 AM,12:11 PM,12:41 PM,1:11 PM,1:41 PM,1:57 PM,2:14 PM,2:37 PM,2:57 PM,3:17 PM,3:37 PM,3:57 PM,4:17 PM,4:37 PM,4:57 PM,5:17 PM,5:37 PM,5:57 PM,6:11 PM,6:31 PM,6:41 PM,7:11 PM,7:41 PM,8:11 PM,8:41 PM,9:11 PM,9:41 PM,10:11 PM,10:41 PM,11:11 PM,11:41 PM,12:11 AM,12:41 AM
Goodwin Dr. at Ray Cres.,521,5:41 AM,6:11 AM,6:41 AM,6:57 AM,7:14 AM,7:37 AM,7:57 AM,8:17 AM,8:37 AM,8:57 AM,9:17 AM,9:37 AM,9:57 AM,10:11 AM,10:31 AM,10:41 AM,11:11 AM,11:41 AM,12:11 PM,12:41 PM,1:11 PM,1:41 PM,1:57 PM,2:14 PM,2:37 PM,2:57 PM,3:17 PM,3:37 PM,3:57 PM,4:17 PM,4:37 PM,4:57 PM,5:17 PM,5:37 PM,5:57 PM,6:11 PM,6:31 PM,6:41 PM,7:11 PM,7:41 PM,8:11 PM,8:41 PM,9:11 PM,9:41 PM,10:11 PM,10:41 PM,11:11 PM,11:41 PM,12:11 AM,12:41 AM
Goodwin Dr. at Orin Reid Park,522,5:41 AM,6:11 AM,6:41 AM,6:57 AM,7:14 AM,7:37 AM,7:57 AM,8:17 AM,8:37 AM,8:57 AM,9:17 AM,9:37 AM,9:57 AM,10:11 AM,10:31 AM,10:41 AM,11:11 AM,11:41 AM,12:11 PM,12:41 PM,1:11 PM,1:41 PM,1:57 PM,2:14 PM,2:37 PM,2:57 PM,3:17 PM,3:37 PM,3:57 PM,4:17 PM,4:37 PM,4:57 PM,5:17 PM,5:37 PM,5:57 PM,6:11 PM,6:31 PM,6:41 PM,7:11 PM,7:41 PM,8:11 PM,8:41 PM,9:11 PM,9:41 PM,10:11 PM,10:41 PM,11:11 PM,11:41 PM,12:11 AM,12:41 AM
Goodwin Dr. at Sinclair St.,523,5:41 AM,6:11 AM,6:41 AM,6:57 AM,7:14 AM,7:37 AM,7:57 AM,8:17 AM,8:37 AM,8:57 AM,9:17 AM,9:37 AM,9:57 AM,10:11 AM,10:31 AM,10:41 AM,11:11 AM,11:41 AM,12:11 PM,12:41 PM,1:11 PM,1:41 PM,1:57 PM,2:14 PM,2:37 PM,2:57 PM,3:17 PM,3:37 PM,3:57 PM,4:17 PM,4:37 PM,4:57 PM,5:17 PM,5:37 PM,5:57 PM,6:11 PM,6:31 PM,6:41 PM,7:11 PM,7:41 PM,8:11 PM,8:41 PM,9:11 PM,9:41 PM,10:11 PM,10:41 PM,11:11 PM,11:41 PM,12:11 AM,12:41 AM
Goodwin Dr. at Darling Cres. ,524,5:41 AM,6:11 AM,6:41 AM,6:57 AM,7:14 AM,7:37 AM,7:57 AM,8:17 AM,8:37 AM,8:57 AM,9:17 AM,9:37 AM,9:57 AM,10:11 AM,10:31 AM,10:41 AM,11:11 AM,11:41 AM,12:11 PM,12:41 PM,1:11 PM,1:41 PM,1:57 PM,2:14 PM,2:37 PM,2:57 PM,3:17 PM,3:37 PM,3:57 PM,4:17 PM,4:37 PM,4:57 PM,5:17 PM,5:37 PM,5:57 PM,6:11 PM,6:31 PM,6:41 PM,7:11 PM,7:41 PM,8:11 PM,8:41 PM,9:11 PM,9:41 PM,10:11 PM,10:41 PM,11:11 PM,11:41 PM,12:11 AM,12:41 AM
