Stop Name,NextBus ID,,,,,,,,,,,,,,,,,,,,
Guelph Central Station,0900,9:15 AM,9:45 AM,10:15 AM,10:45 AM,11:15 AM,11:45 AM,12:15 PM,12:45 PM,1:15 PM,1:45 PM,2:15 PM,2:45 PM,3:15 PM,3:45 PM,4:15 PM,4:45 PM,5:15 PM,5:45 PM,6:15 PM,6:45 PM
3 Waterloo Ave. ,0901,9:15 AM,9:45 AM,10:15 AM,10:45 AM,11:15 AM,11:45 AM,12:15 PM,12:45 PM,1:15 PM,1:45 PM,2:15 PM,2:45 PM,3:15 PM,3:45 PM,4:15 PM,4:45 PM,5:15 PM,5:45 PM,6:15 PM,6:45 PM
Waterloo Ave. at Glasgow St. ,0902,9:18 AM,9:48 AM,10:18 AM,10:48 AM,11:18 AM,11:48 AM,12:18 PM,12:48 PM,1:18 PM,1:48 PM,2:18 PM,2:48 PM,3:18 PM,3:48 PM,4:18 PM,4:48 PM,5:18 PM,5:48 PM,6:18 PM,6:48 PM
Waterloo Ave. at Yorkshire St. S. ,0903,9:18 AM,9:48 AM,10:18 AM,10:48 AM,11:18 AM,11:48 AM,12:18 PM,12:48 PM,1:18 PM,1:48 PM,2:18 PM,2:48 PM,3:18 PM,3:48 PM,4:18 PM,4:48 PM,5:18 PM,5:48 PM,6:18 PM,6:48 PM
225 Waterloo Ave. ,0904,9:18 AM,9:48 AM,10:18 AM,10:48 AM,11:18 AM,11:48 AM,12:18 PM,12:48 PM,1:18 PM,1:48 PM,2:18 PM,2:48 PM,3:18 PM,3:48 PM,4:18 PM,4:48 PM,5:18 PM,5:48 PM,6:18 PM,6:48 PM
Waterloo Ave. at Beachwood Ave. ,0905,9:18 AM,9:48 AM,10:18 AM,10:48 AM,11:18 AM,11:48 AM,12:18 PM,12:48 PM,1:18 PM,1:48 PM,2:18 PM,2:48 PM,3:18 PM,3:48 PM,4:18 PM,4:48 PM,5:18 PM,5:48 PM,6:18 PM,6:48 PM
387 Waterloo Ave.,0906,9:18 AM,9:48 AM,10:18 AM,10:48 AM,11:18 AM,11:48 AM,12:18 PM,12:48 PM,1:18 PM,1:48 PM,2:18 PM,2:48 PM,3:18 PM,3:48 PM,4:18 PM,4:48 PM,5:18 PM,5:48 PM,6:18 PM,6:48 PM
659 Wellington St. N. ,0907,9:20 AM,9:50 AM,10:20 AM,10:50 AM,11:20 AM,11:50 AM,12:20 PM,12:50 PM,1:20 PM,1:50 PM,2:20 PM,2:50 PM,3:20 PM,3:50 PM,4:20 PM,4:50 PM,5:20 PM,5:50 PM,6:20 PM,6:50 PM
Imperial Rd. S. at Wellington St. N.,0908,9:20 AM,9:50 AM,10:20 AM,10:50 AM,11:20 AM,11:50 AM,12:20 PM,12:50 PM,1:20 PM,1:50 PM,2:20 PM,2:50 PM,3:20 PM,3:50 PM,4:20 PM,4:50 PM,5:20 PM,5:50 PM,6:20 PM,6:50 PM
Imperial Rd. S. at Stephanie Dr. ,0909,9:22 AM,9:52 AM,10:22 AM,10:52 AM,11:22 AM,11:52 AM,12:22 PM,12:52 PM,1:22 PM,1:52 PM,2:22 PM,2:52 PM,3:22 PM,3:52 PM,4:22 PM,4:52 PM,5:22 PM,5:52 PM,6:22 PM,6:52 PM
