Stop Name,NextBus ID,,,,Peak Service,,,,,,,,,,,,,,,,,Peak Service,,,,,,,,,,,,,,,,,,,,,,,,,
College Ave. W. at Argyle Dr.,1510,5:38 AM,6:08 AM,6:38 AM,7:11 AM,7:31 AM,7:51 AM,8:11 AM,8:31 AM,8:51 AM,9:11 AM,9:31 AM,9:51 AM,10:08 AM,10:38 AM,11:08 AM,11:38 AM,12:08 PM,12:38 PM,1:08 PM,1:38 PM,2:11 PM,2:31 PM,2:51 PM,3:11 PM,3:31 PM,3:51 PM,4:11 PM,4:31 PM,4:51 PM,5:11 PM,5:31 PM,5:51 PM,6:08 PM,6:38 PM,7:08 PM,7:38 PM,8:08 PM,8:38 PM,9:08 PM,9:38 PM,10:08 PM,10:38 PM,11:08 PM,11:38 PM,12:08 AM,12:38 AM*
506 College Ave. W.,1511,5:38 AM,6:08 AM,6:38 AM,7:11 AM,7:31 AM,7:51 AM,8:11 AM,8:31 AM,8:51 AM,9:11 AM,9:31 AM,9:51 AM,10:08 AM,10:38 AM,11:08 AM,11:38 AM,12:08 PM,12:38 PM,1:08 PM,1:38 PM,2:11 PM,2:31 PM,2:51 PM,3:11 PM,3:31 PM,3:51 PM,4:11 PM,4:31 PM,4:51 PM,5:11 PM,5:31 PM,5:51 PM,6:08 PM,6:38 PM,7:08 PM,7:38 PM,8:08 PM,8:38 PM,9:08 PM,9:38 PM,10:08 PM,10:38 PM,11:08 PM,11:38 PM,12:08 AM,12:38 AM*
College Ave. W. east of Hanlon,1512,5:43 AM,6:13 AM,6:43 AM,7:16 AM,7:36 AM,7:56 AM,8:16 AM,8:36 AM,8:56 AM,9:16 AM,9:36 AM,9:56 AM,10:13 AM,10:43 AM,11:13 AM,11:43 AM,12:13 PM,12:43 PM,1:13 PM,1:43 PM,2:16 PM,2:36 PM,2:56 PM,3:16 PM,3:36 PM,3:56 PM,4:16 PM,4:36 PM,4:56 PM,5:16 PM,5:36 PM,5:56 PM,6:13 PM,6:43 PM,7:13 PM,7:43 PM,8:13 PM,8:43 PM,9:13 PM,9:43 PM,10:13 PM,10:43 PM,11:13 PM,11:43 PM,12:13 AM,12:43 AM*
129 Janefield Ave.,1513,5:43 AM,6:13 AM,6:43 AM,7:16 AM,7:36 AM,7:56 AM,8:16 AM,8:36 AM,8:56 AM,9:16 AM,9:36 AM,9:56 AM,10:13 AM,10:43 AM,11:13 AM,11:43 AM,12:13 PM,12:43 PM,1:13 PM,1:43 PM,2:16 PM,2:36 PM,2:56 PM,3:16 PM,3:36 PM,3:56 PM,4:16 PM,4:36 PM,4:56 PM,5:16 PM,5:36 PM,5:56 PM,6:13 PM,6:43 PM,7:13 PM,7:43 PM,8:13 PM,8:43 PM,9:13 PM,9:43 PM,10:13 PM,10:43 PM,11:13 PM,11:43 PM,12:13 AM,12:43 AM*
Janefield Ave. at Scottsdale Dr.,1514,5:43 AM,6:13 AM,6:43 AM,7:16 AM,7:36 AM,7:56 AM,8:16 AM,8:36 AM,8:56 AM,9:16 AM,9:36 AM,9:56 AM,10:13 AM,10:43 AM,11:13 AM,11:43 AM,12:13 PM,12:43 PM,1:13 PM,1:43 PM,2:16 PM,2:36 PM,2:56 PM,3:16 PM,3:36 PM,3:56 PM,4:16 PM,4:36 PM,4:56 PM,5:16 PM,5:36 PM,5:56 PM,6:13 PM,6:43 PM,7:13 PM,7:43 PM,8:13 PM,8:43 PM,9:13 PM,9:43 PM,10:13 PM,10:43 PM,11:13 PM,11:43 PM,12:13 AM,12:43 AM*
Stone Road Mall,1515,5:47 AM,6:17 AM,6:47 AM,7:23 AM,7:43 AM,8:03 AM,8:23 AM,8:43 AM,9:03 AM,9:23 AM,9:43 AM,10:03 AM,10:17 AM,10:47 AM,11:17 AM,11:47 AM,12:17 PM,12:47 PM,1:17 PM,1:47 PM,2:23 PM,2:43 PM,3:03 PM,3:23 PM,3:43 PM,4:03 PM,4:23 PM,4:43 PM,5:03 PM,5:23 PM,5:43 PM,6:03 PM,6:17 PM,6:47 PM,7:17 PM,7:47 PM,8:17 PM,8:47 PM,9:17 PM,9:47 PM,10:17 PM,10:47 PM,11:17 PM,11:47 PM,12:17 AM,12:47 AM*
Scottsdale Dr. at Wilsonview Ave.,1516,5:47 AM,6:17 AM,6:47 AM,7:23 AM,7:43 AM,8:03 AM,8:23 AM,8:43 AM,9:03 AM,9:23 AM,9:43 AM,10:03 AM,10:17 AM,10:47 AM,11:17 AM,11:47 AM,12:17 PM,12:47 PM,1:17 PM,1:47 PM,2:23 PM,2:43 PM,3:03 PM,3:23 PM,3:43 PM,4:03 PM,4:23 PM,4:43 PM,5:03 PM,5:23 PM,5:43 PM,6:03 PM,6:17 PM,6:47 PM,7:17 PM,7:47 PM,8:17 PM,8:47 PM,9:17 PM,9:47 PM,10:17 PM,10:47 PM,11:17 PM,11:47 PM,12:17 AM, - 
Wilsonview Ave.,1517,5:47 AM,6:17 AM,6:47 AM,7:23 AM,7:43 AM,8:03 AM,8:23 AM,8:43 AM,9:03 AM,9:23 AM,9:43 AM,10:03 AM,10:17 AM,10:47 AM,11:17 AM,11:47 AM,12:17 PM,12:47 PM,1:17 PM,1:47 PM,2:23 PM,2:43 PM,3:03 PM,3:23 PM,3:43 PM,4:03 PM,4:23 PM,4:43 PM,5:03 PM,5:23 PM,5:43 PM,6:03 PM,6:17 PM,6:47 PM,7:17 PM,7:47 PM,8:17 PM,8:47 PM,9:17 PM,9:47 PM,10:17 PM,10:47 PM,11:17 PM,11:47 PM,12:17 AM, - 
Edinburgh Rd at Chancellors Way,1518,5:47 AM,6:17 AM,6:47 AM,7:23 AM,7:43 AM,8:03 AM,8:23 AM,8:43 AM,9:03 AM,9:23 AM,9:43 AM,10:03 AM,10:17 AM,10:47 AM,11:17 AM,11:47 AM,12:17 PM,12:47 PM,1:17 PM,1:47 PM,2:23 PM,2:43 PM,3:03 PM,3:23 PM,3:43 PM,4:03 PM,4:23 PM,4:43 PM,5:03 PM,5:23 PM,5:43 PM,6:03 PM,6:17 PM,6:47 PM,7:17 PM,7:47 PM,8:17 PM,8:47 PM,9:17 PM,9:47 PM,10:17 PM,10:47 PM,11:17 PM,11:47 PM,12:17 AM, - 
Stone Rd. opposite Target,1519,5:52 AM,6:22 AM,6:52 AM,7:29 AM,7:49 AM,8:09 AM,8:29 AM,8:49 AM,9:09 AM,9:29 AM,9:49 AM,10:09 AM,10:22 AM,10:52 AM,11:22 AM,11:52 AM,12:22 PM,12:52 PM,1:22 PM,1:52 PM,2:29 PM,2:49 PM,3:09 PM,3:29 PM,3:49 PM,4:09 PM,4:29 PM,4:49 PM,5:09 PM,5:29 PM,5:49 PM,6:09 PM,6:22 PM,6:52 PM,7:22 PM,7:52 PM,8:22 PM,8:52 PM,9:22 PM,9:52 PM,10:22 PM,10:52 PM,11:22 PM,11:52 PM,12:22 AM, - 
95 Stone Rd. W.,1520,5:52 AM,6:22 AM,6:52 AM,7:29 AM,7:49 AM,8:09 AM,8:29 AM,8:49 AM,9:09 AM,9:29 AM,9:49 AM,10:09 AM,10:22 AM,10:52 AM,11:22 AM,11:52 AM,12:22 PM,12:52 PM,1:22 PM,1:52 PM,2:29 PM,2:49 PM,3:09 PM,3:29 PM,3:49 PM,4:09 PM,4:29 PM,4:49 PM,5:09 PM,5:29 PM,5:49 PM,6:09 PM,6:22 PM,6:52 PM,7:22 PM,7:52 PM,8:22 PM,8:52 PM,9:22 PM,9:52 PM,10:22 PM,10:52 PM,11:22 PM,11:52 PM,12:22 AM, - 
University Centre,1521,5:56 AM,6:26 AM,6:56 AM,7:33 AM,7:53 AM,8:13 AM,8:33 AM,8:53 AM,9:13 AM,9:33 AM,9:53 AM,10:13 AM,10:26 AM,10:56 AM,11:26 AM,11:56 AM,12:26 PM,12:56 PM,1:26 PM,1:56 PM,2:33 PM,2:53 PM,3:13 PM,3:33 PM,3:53 PM,4:13 PM,4:33 PM,4:53 PM,5:13 PM,5:33 PM,5:53 PM,6:13 PM,6:26 PM,6:56 PM,7:26 PM,7:56 PM,8:26 PM,8:56 PM,9:26 PM,9:56 PM,10:26 PM,10:56 PM,11:26 PM,11:56 PM,12:26 AM, - 
