Stop Name,NextBus ID,,,,Peak Service,,,,,,,,,,,,,,,,,,Peak Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woolwich St. at Marilyn Dr.,260,-,5:51 AM,6:21 AM,-,6:51 AM,7:06 AM,7:26 AM,7:46 AM,8:06 AM,8:26 AM,8:46 AM,9:06 AM,9:26 AM,9:46 AM*,10:06 AM,10:21 AM*,10:52 AM,11:21 AM,11:51 AM,12:21 PM,12:51 PM,1:21 PM,-,1:51 PM,2:06 PM,2:26 PM,2:46 PM,3:06 PM,3:26 PM,3:46 PM,4:06 PM,4:26 PM,4:46 PM,5:06 PM,5:26 PM*,5:46 PM,6:06 PM*,6:19 PM,6:51 PM,7:19 PM,7:51 PM,8:19 PM,8:51 PM,9:21 PM,9:51 PM,10:21 PM,10:51 PM,11:21 PM,11:51 PM,12:21 AM**
Woodlawn Rd. W. at Walmart,261,-,5:55 AM,6:25 AM,-,6:55 AM,7:10 AM,7:30 AM,7:50 AM,8:10 AM,8:30 AM,8:50 AM,9:10 AM,9:30 AM,9:50 AM*,10:10 AM,10:25 AM*,10:55 AM,11:25 AM,11:55 AM,12:25 PM,12:55 PM,1:25 PM,-,1:55 PM,2:10 PM,2:30 PM,2:50 PM,3:10 PM,3:30 PM,3:50 PM,4:10 PM,4:30 PM,4:50 PM,5:10 PM,5:30 PM*,5:50 PM,6:10 PM*,6:25 PM,6:55 PM,7:25 PM,7:55 PM,8:25 PM,8:55 PM,9:25 PM,9:55 PM,10:25 PM,10:55 PM,11:25 PM,11:55 PM,12:25 AM**
Woodlawn Rd. W. at Nicklin Rd.,262,-,5:55 AM,6:25 AM,-,6:55 AM,7:10 AM,7:30 AM,7:50 AM,8:10 AM,8:30 AM,8:50 AM,9:10 AM,9:30 AM,9:50 AM*,10:10 AM,10:25 AM*,10:55 AM,11:25 AM,11:55 AM,12:25 PM,12:55 PM,1:25 PM,-,1:55 PM,2:10 PM,2:30 PM,2:50 PM,3:10 PM,3:30 PM,3:50 PM,4:10 PM,4:30 PM,4:50 PM,5:10 PM,5:30 PM*,5:50 PM,6:10 PM*,6:25 PM,6:55 PM,7:25 PM,7:55 PM,8:25 PM,8:55 PM,9:25 PM,9:55 PM,10:25 PM,10:55 PM,11:25 PM,11:55 PM,12:25 AM**
Woodlawn Rd. W. at Edinburgh Rd. N.,263,-,5:55 AM,6:25 AM,-,6:55 AM,7:10 AM,7:30 AM,7:50 AM,8:10 AM,8:30 AM,8:50 AM,9:10 AM,9:30 AM,9:50 AM*,10:10 AM,10:25 AM*,10:55 AM,11:25 AM,11:55 AM,12:25 PM,12:55 PM,1:25 PM,-,1:55 PM,2:10 PM,2:30 PM,2:50 PM,3:10 PM,3:30 PM,3:50 PM,4:10 PM,4:30 PM,4:50 PM,5:10 PM,5:30 PM*,5:50 PM,6:10 PM*,6:25 PM,6:55 PM,7:25 PM,7:55 PM,8:25 PM,8:55 PM,9:25 PM,9:55 PM,10:25 PM,10:55 PM,11:25 PM,11:55 PM,12:25 AM**
Woodlawn Rd. W. at Dawson Rd.,264,-,5:58 AM,6:28 AM,-,6:58 AM,7:13 AM,7:33 AM,7:53 AM,8:13 AM,8:33 AM,8:53 AM,9:13 AM,9:33 AM,9:53 AM*,10:13 AM,10:28 AM*,10:58 AM,11:28 AM,11:58 AM,12:28 PM,12:58 PM,1:28 PM,-,1:58 PM,2:13 PM,2:33 PM,2:53 PM,3:13 PM,3:33 PM,3:53 PM,4:13 PM,4:33 PM,4:53 PM,5:13 PM,5:33 PM*,5:53 PM,6:13 PM*,6:28 PM,6:58 PM,7:28 PM,7:58 PM,8:28 PM,8:58 PM,9:28 PM,9:58 PM,10:28 PM,10:58 PM,11:28 PM,11:58 PM,12:28 AM**
Woodlawn Rd. W. at Arrow Rd.,265,-,5:58 AM,6:28 AM,-,6:58 AM,7:13 AM,7:33 AM,7:53 AM,8:13 AM,8:33 AM,8:53 AM,9:13 AM,9:33 AM,9:53 AM*,10:13 AM,10:28 AM*,10:58 AM,11:28 AM,11:58 AM,12:28 PM,12:58 PM,1:28 PM,-,1:58 PM,2:13 PM,2:33 PM,2:53 PM,3:13 PM,3:33 PM,3:53 PM,4:13 PM,4:33 PM,4:53 PM,5:13 PM,5:33 PM*,5:53 PM,6:13 PM*,6:28 PM,6:58 PM,7:28 PM,7:58 PM,8:28 PM,8:58 PM,9:28 PM,9:58 PM,10:28 PM,10:58 PM,11:28 PM,11:58 PM,12:28 AM**
Woodlawn Rd. W. at Silvercreek Pkwy. N.,266,-,5:58 AM,6:28 AM,-,6:58 AM,7:13 AM,7:33 AM,7:53 AM,8:13 AM,8:33 AM,8:53 AM,9:13 AM,9:33 AM,9:53 AM*,10:13 AM,10:28 AM*,10:58 AM,11:28 AM,11:58 AM,12:28 PM,12:58 PM,1:28 PM,-,1:58 PM,2:13 PM,2:33 PM,2:53 PM,3:13 PM,3:33 PM,3:53 PM,4:13 PM,4:33 PM,4:53 PM,5:13 PM,5:33 PM*,5:53 PM,6:13 PM*,6:28 PM,6:58 PM,7:28 PM,7:58 PM,8:28 PM,8:58 PM,9:28 PM,9:58 PM,10:28 PM,10:58 PM,11:28 PM,11:58 PM,12:28 AM**
Woodlawn Rd. W. at Regal Rd.,267,-,5:58 AM,6:28 AM,-,6:58 AM,7:13 AM,7:33 AM,7:53 AM,8:13 AM,8:33 AM,8:53 AM,9:13 AM,9:33 AM,9:53 AM*,10:13 AM,10:28 AM*,10:58 AM,11:28 AM,11:58 AM,12:28 PM,12:58 PM,1:28 PM,-,1:58 PM,2:13 PM,2:33 PM,2:53 PM,3:13 PM,3:33 PM,3:53 PM,4:13 PM,4:33 PM,4:53 PM,5:13 PM,5:33 PM*,5:53 PM,6:13 PM*,6:28 PM,6:58 PM,7:28 PM,7:58 PM,8:28 PM,8:58 PM,9:28 PM,9:58 PM,10:28 PM,10:58 PM,11:28 PM,11:58 PM,12:28 AM**
Woodlawn Rd. W. at Royal Rd.,268,-,5:58 AM,6:28 AM,-,6:58 AM,7:13 AM,7:33 AM,7:53 AM,8:13 AM,8:33 AM,8:53 AM,9:13 AM,9:33 AM,9:53 AM*,10:13 AM,10:28 AM*,10:58 AM,11:28 AM,11:58 AM,12:28 PM,12:58 PM,1:28 PM,-,1:58 PM,2:13 PM,2:33 PM,2:53 PM,3:13 PM,3:33 PM,3:53 PM,4:13 PM,4:33 PM,4:53 PM,5:13 PM,5:33 PM*,5:53 PM,6:13 PM*,6:28 PM,6:58 PM,7:28 PM,7:58 PM,8:28 PM,8:58 PM,9:28 PM,9:58 PM,10:28 PM,10:58 PM,11:28 PM,11:58 PM,12:28 AM**
Imperial Rd. N. at Woodlawn Rd. W.,269,-,6:02 AM,6:32 AM,-,7:02 AM,7:17 AM,7:37 AM,7:57 AM,8:17 AM,8:37 AM,8:57 AM,9:17 AM,9:37 AM,9:57 AM*,10:17 AM,10:32 AM*,11:02 AM,11:32 AM,12:02 PM,12:32 PM,1:02 PM,1:32 PM,-,2:02 PM,2:17 PM,2:37 PM,2:57 PM,3:17 PM,3:37 PM,3:57 PM,4:17 PM,4:37 PM,4:57 PM,5:17 PM,5:37 PM*,5:57 PM,6:17 PM*,6:32 PM,7:02 PM,7:32 PM,8:02 PM,8:32 PM,9:02 PM,9:32 PM,10:02 PM,10:32 PM,11:02 PM,11:32 PM,12:02 AM,12:32 AM**
