Stop Name,NexBus ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guelph Central Station,0350,-,5:45 AM,6:15 AM,6:45 AM,7:15 AM,7:45 AM,8:15 AM,8:45 AM,9:15 AM,9:45 AM,10:15 AM,10:45 AM,11:15 AM,11:45 AM,12:15 PM,12:45 PM,1:15 PM,1:45 PM,2:15 PM,2:45 PM,3:15 PM,3:45 PM,4:15 PM,4:45 PM,5:15 PM,5:45 PM,6:15 PM,6:45 PM,7:15 PM,7:45 PM,8:15 PM,8:45 PM,9:15 PM,9:45 PM,10:15 PM,10:45 PM,11:15 PM,11:45 PM,12:15 AM**
Gordon St. at Nottingham St.,0351,-,5:45 AM,6:15 AM,6:45 AM,7:15 AM,7:45 AM,8:15 AM,8:45 AM,9:15 AM,9:45 AM,10:15 AM,10:45 AM,11:15 AM,11:45 AM,12:15 PM,12:45 PM,1:15 PM,1:45 PM,2:15 PM,2:45 PM,3:15 PM,3:45 PM,4:15 PM,4:45 PM,5:15 PM,5:45 PM,6:15 PM,6:45 PM,7:15 PM,7:45 PM,8:15 PM,8:45 PM,9:15 PM,9:45 PM,10:15 PM,10:45 PM,11:15 PM,11:45 PM,12:15 AM**
Gordon St. at Wellington St.,0352,-,5:45 AM,6:15 AM,6:45 AM,7:15 AM,7:45 AM,8:15 AM,8:45 AM,9:15 AM,9:45 AM,10:15 AM,10:45 AM,11:15 AM,11:45 AM,12:15 PM,12:45 PM,1:15 PM,1:45 PM,2:15 PM,2:45 PM,3:15 PM,3:45 PM,4:15 PM,4:45 PM,5:15 PM,5:45 PM,6:15 PM,6:45 PM,7:15 PM,7:45 PM,8:15 PM,8:45 PM,9:15 PM,9:45 PM,10:15 PM,10:45 PM,11:15 PM,11:45 PM,12:15 AM**
Gordon St. at Water St.,0353,-,5:49 AM,6:19 AM,6:49 AM,7:19 AM,7:49 AM,8:19 AM,8:49 AM,9:19 AM,9:49 AM,10:19 AM,10:49 AM,11:19 AM,11:49 AM,12:19 PM,12:49 PM,1:19 PM,1:49 PM,2:19 PM,2:49 PM,3:19 PM,3:49 PM,4:19 PM,4:49 PM,5:19 PM,5:49 PM,6:19 PM,6:49 PM,7:19 PM,7:49 PM,8:19 PM,8:49 PM,9:19 PM,9:49 PM,10:19 PM,10:49 PM,11:19 PM,11:49 PM,12:19 AM**
Gordon St. at Forbes Ave.,0354,-,5:49 AM,6:19 AM,6:49 AM,7:19 AM,7:49 AM,8:19 AM,8:49 AM,9:19 AM,9:49 AM,10:19 AM,10:49 AM,11:19 AM,11:49 AM,12:19 PM,12:49 PM,1:19 PM,1:49 PM,2:19 PM,2:49 PM,3:19 PM,3:49 PM,4:19 PM,4:49 PM,5:19 PM,5:49 PM,6:19 PM,6:49 PM,7:19 PM,7:49 PM,8:19 PM,8:49 PM,9:19 PM,9:49 PM,10:19 PM,10:49 PM,11:19 PM,11:49 PM,12:19 AM**
Gordon St. at Dean Ave.,0355,-,5:49 AM,6:19 AM,6:49 AM,7:19 AM,7:49 AM,8:19 AM,8:49 AM,9:19 AM,9:49 AM,10:19 AM,10:49 AM,11:19 AM,11:49 AM,12:19 PM,12:49 PM,1:19 PM,1:49 PM,2:19 PM,2:49 PM,3:19 PM,3:49 PM,4:19 PM,4:49 PM,5:19 PM,5:49 PM,6:19 PM,6:49 PM,7:19 PM,7:49 PM,8:19 PM,8:49 PM,9:19 PM,9:49 PM,10:19 PM,10:49 PM,11:19 PM,11:49 PM,12:19 AM**
Gordon St. at College Ave.,0356,-,5:51 AM,6:21 AM,6:51 AM,7:21 AM,7:51 AM,8:21 AM,8:51 AM,9:21 AM,9:51 AM,10:21 AM,10:51 AM,11:21 AM,11:51 AM,12:21 PM,12:51 PM,1:21 PM,1:51 PM,2:21 PM,2:51 PM,3:21 PM,3:51 PM,4:21 PM,4:51 PM,5:21 PM,5:51 PM,6:21 PM,6:51 PM,7:21 PM,7:51 PM,8:21 PM,8:51 PM,9:21 PM,9:51 PM,10:21 PM,10:51 PM,11:21 PM,11:51 PM,12:21 AM**
University Centre,0357,-,6:00 AM,6:30 AM,7:00 AM,7:30 AM,8:00 AM,8:30 AM,9:00 AM,9:30 AM,10:00 AM,10:30 AM,11:00 AM,11:30 AM,12:00 PM,12:30 PM,1:00 PM,1:30 PM,2:00 PM,2:30 PM,3:00 PM,3:30 PM,4:00 PM,4:30 PM,5:00 PM,5:30 PM,6:00 PM,6:30 PM,7:00 PM,7:30 PM,8:00 PM,8:30 PM,9:00 PM,9:30 PM,10:00 PM,10:30 PM,11:00 PM,11:30 PM,12:00 AM,12:30 AM**
Stone Rd. E. at Arbour Medical Centre,0358,-,6:00 AM,6:30 AM,7:00 AM,7:30 AM,8:00 AM,8:30 AM,9:00 AM,9:30 AM,10:00 AM,10:30 AM,11:00 AM,11:30 AM,12:00 PM,12:30 PM,1:00 PM,1:30 PM,2:00 PM,2:30 PM,3:00 PM,3:30 PM,4:00 PM,4:30 PM,5:00 PM,5:30 PM,6:00 PM,6:30 PM,7:00 PM,7:30 PM,8:00 PM,8:30 PM,9:00 PM,9:30 PM,10:00 PM,10:30 PM,11:00 PM,11:30 PM,12:00 AM,12:30 AM**
Victoria Rd. S. at Stone Rd. E.,0359,-,6:03 AM,6:33 AM,7:03 AM,7:33 AM,8:03 AM,8:33 AM,9:03 AM,9:33 AM,10:03 AM,10:33 AM,11:03 AM,11:33 AM,12:03 PM,12:33 PM,1:03 PM,1:33 PM,2:03 PM,2:33 PM,3:03 PM,3:33 PM,4:03 PM,4:33 PM,5:03 PM,5:33 PM,6:03 PM,6:33 PM,7:03 PM,7:33 PM,8:03 PM,8:33 PM,9:03 PM,9:33 PM,10:03 PM,10:33 PM,11:03 PM,11:33 PM,12:03 AM,12:33 AM**
