Stop Name,NextBus ID,,,,Peak Service,,,,,,,,,,,,,,,,,,Peak Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westmount Rd. at Speedvale Ave. W.,310,-,5:53 AM,6:23 AM,-,6:53 AM,7:08 AM,7:28 AM,7:48 AM,8:08 AM,8:28 AM,8:48 AM,9:08 AM,9:28 AM,9:48 AM**,10:08 AM,10:23 AM**,10:53 AM,11:23 AM,11:53 AM,12:23 PM,12:53 PM,1:23 PM,-,1:53 PM,2:08 PM,2:28 PM,2:48 PM,3:08 PM,3:28 PM,3:48 PM,4:08 PM,4:28 PM,4:48 PM,5:08 PM,5:28 PM**,5:48 PM,6:08 PM**,6:23 PM,6:53 PM,7:23 PM,7:53 PM,8:23 PM,8:53 PM,9:23 PM,9:53 PM,10:23 PM,10:53 PM,11:23 PM,11:53 PM,12:23 AM*
Kathleen St. at June Ave.,311,-,5:56 AM,6:26 AM,-,6:56 AM,7:10 AM,7:30 AM,7:50 AM,8:10 AM,8:30 AM,8:50 AM,9:10 AM,9:30 AM,9:50 AM**,10:10 AM,10:26 AM**,10:56 AM,11:26 AM,11:56 AM,12:26 PM,12:56 PM,1:26 PM,-,1:56 PM,2:10 PM,2:30 PM,2:50 PM,3:10 PM,3:30 PM,3:50 PM,4:10 PM,4:30 PM,4:50 PM,5:10 PM,5:30 PM**,5:50 PM,6:11 PM**,6:26 PM,6:56 PM,7:26 PM,7:56 PM,8:26 PM,8:56 PM,9:26 PM,9:56 PM,10:26 PM,10:56 PM,11:26 PM,11:56 PM,12:26 AM*
Bailey Ave. at Nicklin Rd.,312,-,5:56 AM,6:26 AM,-,6:56 AM,7:10 AM,7:30 AM,7:50 AM,8:10 AM,8:30 AM,8:50 AM,9:10 AM,9:30 AM,9:50 AM**,10:10 AM,10:26 AM**,10:56 AM,11:26 AM,11:56 AM,12:26 PM,12:56 PM,1:26 PM,-,1:56 PM,2:10 PM,2:30 PM,2:50 PM,3:10 PM,3:30 PM,3:50 PM,4:10 PM,4:30 PM,4:50 PM,5:10 PM,5:30 PM**,5:50 PM,6:11 PM**,6:26 PM,6:56 PM,7:26 PM,7:56 PM,8:26 PM,8:56 PM,9:26 PM,9:56 PM,10:26 PM,10:56 PM,11:26 PM,11:56 PM,12:26 AM*
Nicklin Rd. at Woodlawn Rd. W.,313,-,5:59 AM,6:29 AM,-,6:59 AM,7:19 AM,7:39 AM,7:59 AM,8:19 AM,8:39 AM,8:59 AM,9:19 AM,9:39 AM,9:59 AM**,10:19 AM,10:29 AM**,10:59 AM,11:29 AM,11:59 AM,12:29 PM,12:59 PM,1:29 PM,-,1:59 PM,2:19 PM,2:39 PM,2:59 PM,3:19 PM,3:39 PM,3:59 PM,4:19 PM,4:39 PM,4:59 PM,5:19 PM,5:39 PM**,5:59 PM,6:14 PM**,6:29 PM,6:59 PM,7:29 PM,7:59 PM,8:29 PM,8:59 PM,9:29 PM,9:59 PM,10:29 PM,10:59 PM,11:29 PM,11:59 PM,12:29 AM*
Woodlawn Rd. W. at Woolwich St.,314,-,6:00 AM,6:30 AM,-,7:00 AM,7:20 AM,7:40 AM,8:00 AM,8:20 AM,8:40 AM,9:00 AM,9:20 AM,9:40 AM,10:00 AM**,10:20 AM,10:30 AM**,11:00 AM,11:30 AM,12:00 PM,12:30 PM,1:00 PM,1:30 PM,-,2:00 PM,2:20 PM,2:40 PM,3:00 PM,3:20 PM,3:40 PM,4:00 PM,4:20 PM,4:40 PM,5:00 PM,5:20 PM,5:40 PM**,6:00 PM,6:15 PM**,6:30 PM,7:00 PM,7:30 PM,8:00 PM,8:30 PM,9:00 PM,9:30 PM,10:00 PM,10:30 PM,11:00 PM,11:30 PM,12:00 AM,12:30 AM*
21 Woodlawn Rd. E. at Apartments,315,-,6:00 AM,6:30 AM,-,7:00 AM,7:20 AM,7:40 AM,8:00 AM,8:20 AM,8:40 AM,9:00 AM,9:20 AM,9:40 AM,10:00 AM**,10:20 AM,10:30 AM**,11:00 AM,11:30 AM,12:00 PM,12:30 PM,1:00 PM,1:30 PM,-,2:00 PM,2:20 PM,2:40 PM,3:00 PM,3:20 PM,3:40 PM,4:00 PM,4:20 PM,4:40 PM,5:00 PM,5:20 PM,5:40 PM**,6:00 PM,6:15 PM**,6:30 PM,7:00 PM,7:30 PM,8:00 PM,8:30 PM,9:00 PM,9:30 PM,10:00 PM,10:30 PM,11:00 PM,11:30 PM,12:00 AM,12:30 AM*
Woodlawn Rd. E. at opposite Seniors Centre,316,-,6:00 AM,6:30 AM,-,7:00 AM,7:20 AM,7:40 AM,8:00 AM,8:20 AM,8:40 AM,9:00 AM,9:20 AM,9:40 AM,10:00 AM**,10:20 AM,10:30 AM**,11:00 AM,11:30 AM,12:00 PM,12:30 PM,1:00 PM,1:30 PM,-,2:00 PM,2:20 PM,2:40 PM,3:00 PM,3:20 PM,3:40 PM,4:00 PM,4:20 PM,4:40 PM,5:00 PM,5:20 PM,5:40 PM**,6:00 PM,6:15 PM**,6:30 PM,7:00 PM,7:30 PM,8:00 PM,8:30 PM,9:00 PM,9:30 PM,10:00 PM,10:30 PM,11:00 PM,11:30 PM,12:00 AM,12:30 AM*
Woodlawn Rd. E. at Fairway Lane,317,-,6:00 AM,6:30 AM,-,7:00 AM,7:20 AM,7:40 AM,8:00 AM,8:20 AM,8:40 AM,9:00 AM,9:20 AM,9:40 AM,10:00 AM**,10:20 AM,10:30 AM**,11:00 AM,11:30 AM,12:00 PM,12:30 PM,1:00 PM,1:30 PM,-,2:00 PM,2:20 PM,2:40 PM,3:00 PM,3:20 PM,3:40 PM,4:00 PM,4:20 PM,4:40 PM,5:00 PM,5:20 PM,5:40 PM**,6:00 PM,6:15 PM**,6:30 PM,7:00 PM,7:30 PM,8:00 PM,8:30 PM,9:00 PM,9:30 PM,10:00 PM,10:30 PM,11:00 PM,11:30 PM,12:00 AM,12:30 AM*
Woodlawn Rd. E. at Golfview Dr.,318,-,6:00 AM,6:30 AM,-,7:00 AM,7:20 AM,7:40 AM,8:00 AM,8:20 AM,8:40 AM,9:00 AM,9:20 AM,9:40 AM,10:00 AM**,10:20 AM,10:30 AM**,11:00 AM,11:30 AM,12:00 PM,12:30 PM,1:00 PM,1:30 PM,-,2:00 PM,2:20 PM,2:40 PM,3:00 PM,3:20 PM,3:40 PM,4:00 PM,4:20 PM,4:40 PM,5:00 PM,5:20 PM,5:40 PM**,6:00 PM,6:15 PM**,6:30 PM,7:00 PM,7:30 PM,8:00 PM,8:30 PM,9:00 PM,9:30 PM,10:00 PM,10:30 PM,11:00 PM,11:30 PM,12:00 AM,12:30 AM*
Inverness Dr. at Glenbrook Dr.,319,-,6:03 AM,6:33 AM,-,7:04 AM,7:24 AM,7:44 AM,8:04 AM,8:24 AM,8:44 AM,9:04 AM,9:24 AM,9:44 AM,10:04 AM**,10:24 AM,10:33 AM**,11:03 AM,11:33 AM,12:03 PM,12:33 PM,1:03 PM,1:33 PM,-,2:04 PM,2:24 PM,2:44 PM,3:04 PM,3:24 PM,3:44 PM,4:04 PM,4:24 PM,4:44 PM,5:04 PM,5:24 PM,5:44 PM**,6:03 PM,6:18 PM**,6:33 PM,7:03 PM,7:33 PM,8:03 PM,8:33 PM,9:03 PM,9:33 PM,10:03 PM,10:33 PM,11:03 PM,11:33 PM,12:03 AM,12:33 AM*
Inverness Dr. at Simmonds Dr.,320,-,6:04 AM,6:34 AM,-,7:05 AM,7:25 AM,7:45 AM,8:05 AM,8:25 AM,8:45 AM,9:05 AM,9:25 AM,9:45 AM,10:05 AM**,10:25 AM,10:34 AM**,11:04 AM,11:34 AM,12:04 PM,12:34 PM,1:04 PM,1:34 PM,-,2:05 PM,2:25 PM,2:45 PM,3:05 PM,3:25 PM,3:45 PM,4:05 PM,4:25 PM,4:45 PM,5:05 PM,5:25 PM,5:45 PM**,6:04 PM,6:19 PM**,6:34 PM,7:04 PM,7:34 PM,8:04 PM,8:34 PM,9:04 PM,9:34 PM,10:04 PM,10:34 PM,11:04 PM,11:34 PM,12:04 AM,12:34 AM*
