Stop Name,Stop ID,Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guelph Central Station,1400,5:45 AM,6:15 AM,6:45 AM,7:00 AM,7:20 AM,7:40 AM,8:00 AM,8:20 AM,8:40 AM,9:00 AM,9:20 AM,9:40 AM,10:00 AM,10:15 AM,10:45 AM,11:15 AM,11:45 AM,12:15 PM,12:45 PM,1:15 PM,1:45 PM,2:00 PM,2:20 PM,2:40 PM,3:00 PM,3:20 PM,3:40 PM,4:00 PM,4:20 PM,4:40 PM,5:00 PM,5:20 PM,5:40 PM,6:00 PM,6:15 PM,6:45 PM,7:15 PM,7:45 PM,8:15 PM,8:45 PM,9:15 PM,9:45 PM,10:15 PM,10:45 PM,11:15 PM,11:45 PM,12:15 AM
Elizabeth St. at Duke St.,1401,5:45 AM,6:15 AM,6:45 AM,7:00 AM,7:20 AM,7:40 AM,8:00 AM,8:20 AM,8:40 AM,9:00 AM,9:20 AM,9:40 AM,10:00 AM,10:15 AM,10:45 AM,11:15 AM,11:45 AM,12:15 PM,12:45 PM,1:15 PM,1:45 PM,2:00 PM,2:20 PM,2:40 PM,3:00 PM,3:20 PM,3:40 PM,4:00 PM,4:20 PM,4:40 PM,5:00 PM,5:20 PM,5:40 PM,6:00 PM,6:15 PM,6:45 PM,7:15 PM,7:45 PM,8:15 PM,8:45 PM,9:15 PM,9:45 PM,10:15 PM,10:45 PM,11:15 PM,11:45 PM,12:15 AM
65 Elizabeth St.,1402,5:45 AM,6:15 AM,6:45 AM,7:00 AM,7:20 AM,7:40 AM,8:00 AM,8:20 AM,8:40 AM,9:00 AM,9:20 AM,9:40 AM,10:00 AM,10:15 AM,10:45 AM,11:15 AM,11:45 AM,12:15 PM,12:45 PM,1:15 PM,1:45 PM,2:00 PM,2:20 PM,2:40 PM,3:00 PM,3:20 PM,3:40 PM,4:00 PM,4:20 PM,4:40 PM,5:00 PM,5:20 PM,5:40 PM,6:00 PM,6:15 PM,6:45 PM,7:15 PM,7:45 PM,8:15 PM,8:45 PM,9:15 PM,9:45 PM,10:15 PM,10:45 PM,11:15 PM,11:45 PM,12:15 AM
Elizabeth St. at Morris St.,1403,5:45 AM,6:15 AM,6:45 AM,7:00 AM,7:20 AM,7:40 AM,8:00 AM,8:20 AM,8:40 AM,9:00 AM,9:20 AM,9:40 AM,10:00 AM,10:15 AM,10:45 AM,11:15 AM,11:45 AM,12:15 PM,12:45 PM,1:15 PM,1:45 PM,2:00 PM,2:20 PM,2:40 PM,3:00 PM,3:20 PM,3:40 PM,4:00 PM,4:20 PM,4:40 PM,5:00 PM,5:20 PM,5:40 PM,6:00 PM,6:15 PM,6:45 PM,7:15 PM,7:45 PM,8:15 PM,8:45 PM,9:15 PM,9:45 PM,10:15 PM,10:45 PM,11:15 PM,11:45 PM,12:15 AM
Elizabeth St. at Stevenson St.,1404,5:48 AM,6:18 AM,6:48 AM,7:05 AM,7:25 AM,7:45 AM,8:05 AM,8:25 AM,8:45 AM,9:05 AM,9:25 AM,9:45 AM,10:03 AM,10:18 AM,10:48 AM,11:18 AM,11:48 AM,12:18 PM,12:48 PM,1:18 PM,1:48 PM,2:05 PM,2:25 PM,2:45 PM,3:05 PM,3:25 PM,3:45 PM,4:05 PM,4:25 PM,4:45 PM,5:05 PM,5:25 PM,5:43 PM,6:03 PM,6:18 PM,6:48 PM,7:18 PM,7:48 PM,8:18 PM,8:48 PM,9:18 PM,9:48 PM,10:18 PM,10:48 PM,11:18 PM,11:48 PM,12:18 AM
Elizabeth St. at Victoria Rd. N.,1405,5:50 AM,6:20 AM,6:50 AM,7:09 AM,7:29 AM,7:49 AM,8:09 AM,8:29 AM,8:49 AM,9:09 AM,9:29 AM,9:49 AM,10:05 AM,10:20 AM,10:50 AM,11:20 AM,11:50 AM,12:20 PM,12:50 PM,1:20 PM,1:50 PM,2:09 PM,2:29 PM,2:49 PM,3:09 PM,3:29 PM,3:49 PM,4:09 PM,4:29 PM,4:49 PM,5:09 PM,5:29 PM,5:45 PM,6:05 PM,6:20 PM,6:50 PM,7:20 PM,7:50 PM,8:20 PM,8:50 PM,9:20 PM,9:50 PM,10:20 PM,10:50 PM,11:20 PM,11:50 PM,12:20 AM
Grange Rd. at Victoria Rd. N.,1406,5:50 AM,6:20 AM,6:50 AM,7:09 AM,7:29 AM,7:49 AM,8:09 AM,8:29 AM,8:49 AM,9:09 AM,9:29 AM,9:49 AM,10:05 AM,10:20 AM,10:50 AM,11:20 AM,11:50 AM,12:20 PM,12:50 PM,1:20 PM,1:50 PM,2:09 PM,2:29 PM,2:49 PM,3:09 PM,3:29 PM,3:49 PM,4:09 PM,4:29 PM,4:49 PM,5:09 PM,5:29 PM,5:45 PM,6:05 PM,6:20 PM,6:50 PM,7:20 PM,7:50 PM,8:20 PM,8:50 PM,9:20 PM,9:50 PM,10:20 PM,10:50 PM,11:20 PM,11:50 PM,12:20 AM
Grange Rd. at Schroder Cres.,1407,5:50 AM,6:20 AM,6:50 AM,7:09 AM,7:29 AM,7:49 AM,8:09 AM,8:29 AM,8:49 AM,9:09 AM,9:29 AM,9:49 AM,10:05 AM,10:20 AM,10:50 AM,11:20 AM,11:50 AM,12:20 PM,12:50 PM,1:20 PM,1:50 PM,2:09 PM,2:29 PM,2:49 PM,3:09 PM,3:29 PM,3:49 PM,4:09 PM,4:29 PM,4:49 PM,5:09 PM,5:29 PM,5:45 PM,6:05 PM,6:20 PM,6:50 PM,7:20 PM,7:50 PM,8:20 PM,8:50 PM,9:20 PM,9:50 PM,10:20 PM,10:50 PM,11:20 PM,11:50 PM,12:20 AM
Grange Rd. at Breesgarden Lane,1408,5:50 AM,6:20 AM,6:50 AM,7:09 AM,7:29 AM,7:49 AM,8:09 AM,8:29 AM,8:49 AM,9:09 AM,9:29 AM,9:49 AM,10:05 AM,10:20 AM,10:50 AM,11:20 AM,11:50 AM,12:20 PM,12:50 PM,1:20 PM,1:50 PM,2:09 PM,2:29 PM,2:49 PM,3:09 PM,3:29 PM,3:49 PM,4:09 PM,4:29 PM,4:49 PM,5:09 PM,5:29 PM,5:45 PM,6:05 PM,6:20 PM,6:50 PM,7:20 PM,7:50 PM,8:20 PM,8:50 PM,9:20 PM,9:50 PM,10:20 PM,10:50 PM,11:20 PM,11:50 PM,12:20 AM
Grange Rd. at Ralston Dr.,1409,5:54 AM,6:24 AM,6:54 AM,7:14 AM,7:34 AM,7:54 AM,8:14 AM,8:34 AM,8:54 AM,9:14 AM,9:34 AM,9:54 AM,10:09 AM,10:24 AM,10:54 AM,11:24 AM,11:54 AM,12:24 PM,12:54 PM,1:24 PM,1:54 PM,2:14 PM,2:34 PM,2:54 PM,3:14 PM,3:34 PM,3:54 PM,4:14 PM,4:34 PM,4:54 PM,5:14 PM,5:34 PM,5:49 PM,6:09 PM,6:24 PM,6:54 PM,7:24 PM,7:54 PM,8:24 PM,8:54 PM,9:24 PM,9:54 PM,10:24 PM,10:54 PM,11:24 PM,11:54 PM,12:24 AM
