Stop Name,NexBus ID,,,,,,,,,,,,,,,,,,,,,
Woodlawn Rd. E. at opposite Seniors Centre,0316,-,9:30 AM,10:00 AM,10:30 AM,11:00 AM,11:30 AM,12:00 PM,12:30 PM,1:00 PM,1:30 PM,2:00 PM,2:30 PM,3:00 PM,3:30 PM,4:00 PM,4:30 PM,5:00 PM,5:30 PM,6:00 PM,5:30 PM,7:00 PM*
Woodlawn Rd. E. at Fairway Lane,0317,-,9:30 AM,10:00 AM,10:30 AM,11:00 AM,11:30 AM,12:00 PM,12:30 PM,1:00 PM,1:30 PM,2:00 PM,2:30 PM,3:00 PM,3:30 PM,4:00 PM,4:30 PM,5:00 PM,5:30 PM,6:00 PM,5:30 PM,7:00 PM*
Woodlawn Rd. E. at Golfview Dr.,0318,-,9:30 AM,10:00 AM,10:30 AM,11:00 AM,11:30 AM,12:00 PM,12:30 PM,1:00 PM,1:30 PM,2:00 PM,2:30 PM,3:00 PM,3:30 PM,4:00 PM,4:30 PM,5:00 PM,5:30 PM,6:00 PM,5:30 PM,7:00 PM*
Inverness Dr. at Glenbrook Dr.,0319,-,9:33 AM,10:03 AM,10:33 AM,11:03 AM,11:33 AM,12:03 PM,12:33 PM,1:03 PM,1:33 PM,2:03 PM,2:33 PM,3:03 PM,3:33 PM,4:03 PM,4:33 PM,5:03 PM,5:33 PM,6:03 PM,5:33 PM,7:03 PM*
Inverness Dr. at Simmonds Dr.,0320,-,9:34 AM,10:04 AM,10:34 AM,11:04 AM,11:34 AM,12:04 PM,12:34 PM,1:04 PM,1:34 PM,2:04 PM,2:34 PM,3:04 PM,3:34 PM,4:04 PM,4:34 PM,5:04 PM,5:34 PM,6:04 PM,5:34 PM,7:04 PM*
Victoria Rd. N. at Trillium Waldorf,0321,-,9:34 AM,10:04 AM,10:34 AM,11:04 AM,11:34 AM,12:04 PM,12:34 PM,1:04 PM,1:34 PM,2:04 PM,2:34 PM,3:04 PM,3:34 PM,4:04 PM,4:34 PM,5:04 PM,5:34 PM,6:04 PM,5:34 PM,7:04 PM*
Victoria Rd. N. at Woodlawn Rd. E.,0322,-,9:34 AM,10:04 AM,10:34 AM,11:04 AM,11:34 AM,12:04 PM,12:34 PM,1:04 PM,1:34 PM,2:04 PM,2:34 PM,3:04 PM,3:34 PM,4:04 PM,4:34 PM,5:04 PM,5:34 PM,6:04 PM,5:34 PM,7:04 PM*
Victoria Rd. N . at Delta St. ,0323,-,9:34 AM,10:04 AM,10:34 AM,11:04 AM,11:34 AM,12:04 PM,12:34 PM,1:04 PM,1:34 PM,2:04 PM,2:34 PM,3:04 PM,3:34 PM,4:04 PM,4:34 PM,5:04 PM,5:34 PM,6:04 PM,5:34 PM,7:04 PM*
Victoria Rd. N. at Speedvale Ave. E.,0324,-,9:34 AM,10:04 AM,10:34 AM,11:04 AM,11:34 AM,12:04 PM,12:34 PM,1:04 PM,1:34 PM,2:04 PM,2:34 PM,3:04 PM,3:34 PM,4:04 PM,4:34 PM,5:04 PM,5:34 PM,6:04 PM,5:34 PM,7:04 PM*
Victoria Rd. N. at Eramosa Rd.,0325,-,9:38 AM,10:08 AM,10:38 AM,11:08 AM,11:38 AM,12:08 PM,12:38 PM,1:08 PM,1:38 PM,2:08 PM,2:38 PM,3:08 PM,3:38 PM,4:08 PM,4:38 PM,5:08 PM,5:38 PM,6:08 PM,5:38 PM,7:08 PM*
