Stop Name,NexBus ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guelph Central Station,2000,-,5:45 AM,6:15 AM,6:45 AM,7:15 AM,7:45 AM,8:15 AM,8:45 AM,9:15 AM,9:45 AM,10:15 AM,10:45 AM,11:15 AM,11:45 AM,12:15 PM,12:45 PM,1:15 PM,1:45 PM,2:15 PM,2:45 PM,3:15 PM,3:45 PM,4:15 PM,4:45 PM,5:15 PM,5:45 PM,6:15 PM,6:45 PM,7:15 PM,7:45 PM,8:15 PM,8:45 PM,9:15 PM,9:45 PM,10:15 PM,10:45 PM,11:15 PM,11:45 PM,12:15 AM
Woolwich St. at Norwich St. E.,2001,-,5:47 AM,6:17 AM,6:47 AM,7:17 AM,7:47 AM,8:17 AM,8:47 AM,9:17 AM,9:47 AM,10:17 AM,10:47 AM,11:17 AM,11:47 AM,12:17 PM,12:47 PM,1:17 PM,1:47 PM,2:17 PM,2:47 PM,3:17 PM,3:47 PM,4:17 PM,4:47 PM,5:17 PM,5:47 PM,6:17 PM,6:47 PM,7:17 PM,7:47 PM,8:17 PM,8:47 PM,9:17 PM,9:47 PM,10:17 PM,10:47 PM,11:17 PM,11:47 PM,12:17 AM
London Rd. W. At Westmount Rd.,2002,-,5:47 AM,6:17 AM,6:47 AM,7:17 AM,7:47 AM,8:17 AM,8:47 AM,9:17 AM,9:47 AM,10:17 AM,10:47 AM,11:17 AM,11:47 AM,12:17 PM,12:47 PM,1:17 PM,1:47 PM,2:17 PM,2:47 PM,3:17 PM,3:47 PM,4:17 PM,4:47 PM,5:17 PM,5:47 PM,6:17 PM,6:47 PM,7:17 PM,7:47 PM,8:17 PM,8:47 PM,9:17 PM,9:47 PM,10:17 PM,10:47 PM,11:17 PM,11:47 PM,12:17 AM
Willow Rd. at Dawson Rd.,2003,-,5:47 AM,6:17 AM,6:47 AM,7:17 AM,7:47 AM,8:17 AM,8:47 AM,9:17 AM,9:47 AM,10:17 AM,10:47 AM,11:17 AM,11:47 AM,12:17 PM,12:47 PM,1:17 PM,1:47 PM,2:17 PM,2:47 PM,3:17 PM,3:47 PM,4:17 PM,4:47 PM,5:17 PM,5:47 PM,6:17 PM,6:47 PM,7:17 PM,7:47 PM,8:17 PM,8:47 PM,9:17 PM,9:47 PM,10:17 PM,10:47 PM,11:17 PM,11:47 PM,12:17 AM
Willow Rd. at Willow Road P.S,2004,-,5:47 AM,6:17 AM,6:47 AM,7:17 AM,7:47 AM,8:17 AM,8:47 AM,9:17 AM,9:47 AM,10:17 AM,10:47 AM,11:17 AM,11:47 AM,12:17 PM,12:47 PM,1:17 PM,1:47 PM,2:17 PM,2:47 PM,3:17 PM,3:47 PM,4:17 PM,4:47 PM,5:17 PM,5:47 PM,6:17 PM,6:47 PM,7:17 PM,7:47 PM,8:17 PM,8:47 PM,9:17 PM,9:47 PM,10:17 PM,10:47 PM,11:17 PM,11:47 PM,12:17 AM
Willow West Mall,2005,-,5:54 AM,6:24 AM,6:54 AM,7:24 AM,7:54 AM,8:24 AM,8:54 AM,9:24 AM,9:54 AM,10:24 AM,10:54 AM,11:24 AM,11:54 AM,12:24 PM,12:54 PM,1:24 PM,1:54 PM,2:24 PM,2:54 PM,3:24 PM,3:54 PM,4:24 PM,4:54 PM,5:24 PM,5:54 PM,6:24 PM,6:54 PM,7:24 PM,7:54 PM,8:24 PM,8:54 PM,9:24 PM,9:54 PM,10:24 PM,10:54 PM,11:24 PM,11:54 PM,12:24 AM
Willow Rd. at Marksam Rd. ,2006,-,5:54 AM,6:24 AM,6:54 AM,7:24 AM,7:54 AM,8:24 AM,8:54 AM,9:24 AM,9:54 AM,10:24 AM,10:54 AM,11:24 AM,11:54 AM,12:24 PM,12:54 PM,1:24 PM,1:54 PM,2:24 PM,2:54 PM,3:24 PM,3:54 PM,4:24 PM,4:54 PM,5:24 PM,5:54 PM,6:24 PM,6:54 PM,7:24 PM,7:54 PM,8:24 PM,8:54 PM,9:24 PM,9:54 PM,10:24 PM,10:54 PM,11:24 PM,11:54 PM,12:24 AM
Willow Rd. at Westwood Public School,2007,-,5:54 AM,6:24 AM,6:54 AM,7:24 AM,7:54 AM,8:24 AM,8:54 AM,9:24 AM,9:54 AM,10:24 AM,10:54 AM,11:24 AM,11:54 AM,12:24 PM,12:54 PM,1:24 PM,1:54 PM,2:24 PM,2:54 PM,3:24 PM,3:54 PM,4:24 PM,4:54 PM,5:24 PM,5:54 PM,6:24 PM,6:54 PM,7:24 PM,7:54 PM,8:24 PM,8:54 PM,9:24 PM,9:54 PM,10:24 PM,10:54 PM,11:24 PM,11:54 PM,12:24 AM
Willow Rd. at Westwood Rd. ,2008,-,5:54 AM,6:24 AM,6:54 AM,7:24 AM,7:54 AM,8:24 AM,8:54 AM,9:24 AM,9:54 AM,10:24 AM,10:54 AM,11:24 AM,11:54 AM,12:24 PM,12:54 PM,1:24 PM,1:54 PM,2:24 PM,2:54 PM,3:24 PM,3:54 PM,4:24 PM,4:54 PM,5:24 PM,5:54 PM,6:24 PM,6:54 PM,7:24 PM,7:54 PM,8:24 PM,8:54 PM,9:24 PM,9:54 PM,10:24 PM,10:54 PM,11:24 PM,11:54 PM,12:24 AM
577  Willow Rd. at Church,2009,-,5:54 AM,6:24 AM,6:54 AM,7:24 AM,7:54 AM,8:24 AM,8:54 AM,9:24 AM,9:54 AM,10:24 AM,10:54 AM,11:24 AM,11:54 AM,12:24 PM,12:54 PM,1:24 PM,1:54 PM,2:24 PM,2:54 PM,3:24 PM,3:54 PM,4:24 PM,4:54 PM,5:24 PM,5:54 PM,6:24 PM,6:54 PM,7:24 PM,7:54 PM,8:24 PM,8:54 PM,9:24 PM,9:54 PM,10:24 PM,10:54 PM,11:24 PM,11:54 PM,12:24 AM
