Stop Name,NexBus ID,,,,,Peak Service,,,,,,,,,,,,,,,,,,Peak Service,,,,,,,,,,,,,,,,,,,,,,,,,
Guelph Central Station,2000,-,5:45 AM,6:15 AM,6:45 AM,7:00 AM,7:20 AM,7:40 AM,8:00 AM,8:20 AM,8:40 AM,9:00 AM,9:20 AM,9:40 AM,10:00 AM,10:15 AM,10:45 AM,11:15 AM,11:45 AM,12:15 PM,12:45 PM,1:15 PM,1:45 PM,2:00 PM,2:20 PM,2:40 PM,3:00 PM,3:20 PM,3:40 PM,4:00 PM,4:20 PM,4:40 PM,5:00 PM,5:20 PM,5:40 PM,6:00 PM,6:15 PM,6:45 PM,7:15 PM,7:45 PM,8:15 PM,8:45 PM,9:15 PM,9:45 PM,10:15 PM,10:45 PM,11:15 PM,11:45 PM,12:15 AM
Woolwich St. at Norwich St. E.,2001,-,5:47 AM,6:17 AM,6:47 AM,7:02 AM,7:22 AM,7:42 AM,8:02 AM,8:22 AM,8:42 AM,9:02 AM,9:22 AM,9:42 AM,10:02 AM,10:17 AM,10:47 AM,11:17 AM,11:47 AM,12:17 PM,12:47 PM,1:17 PM,1:47 PM,2:02 PM,2:22 PM,2:42 PM,3:02 PM,3:22 PM,3:42 PM,4:02 PM,4:22 PM,4:42 PM,5:02 PM,5:22 PM,5:42 PM,6:02 PM,6:17 PM,6:47 PM,7:17 PM,7:47 PM,8:17 PM,8:47 PM,9:17 PM,9:47 PM,10:17 PM,10:47 PM,11:17 PM,11:47 PM,12:17 AM
London Rd. W. At Westmount Rd.,2002,-,5:47 AM,6:17 AM,6:47 AM,7:02 AM,7:22 AM,7:42 AM,8:02 AM,8:22 AM,8:42 AM,9:02 AM,9:22 AM,9:42 AM,10:02 AM,10:17 AM,10:47 AM,11:17 AM,11:47 AM,12:17 PM,12:47 PM,1:17 PM,1:47 PM,2:02 PM,2:22 PM,2:42 PM,3:02 PM,3:22 PM,3:42 PM,4:02 PM,4:22 PM,4:42 PM,5:02 PM,5:22 PM,5:42 PM,6:02 PM,6:17 PM,6:47 PM,7:17 PM,7:47 PM,8:17 PM,8:47 PM,9:17 PM,9:47 PM,10:17 PM,10:47 PM,11:17 PM,11:47 PM,12:17 AM
Willow Rd. at Dawson Rd.,2003,-,5:47 AM,6:17 AM,6:47 AM,7:02 AM,7:22 AM,7:42 AM,8:02 AM,8:22 AM,8:42 AM,9:02 AM,9:22 AM,9:42 AM,10:02 AM,10:17 AM,10:47 AM,11:17 AM,11:47 AM,12:17 PM,12:47 PM,1:17 PM,1:47 PM,2:02 PM,2:22 PM,2:42 PM,3:02 PM,3:22 PM,3:42 PM,4:02 PM,4:22 PM,4:42 PM,5:02 PM,5:22 PM,5:42 PM,6:02 PM,6:17 PM,6:47 PM,7:17 PM,7:47 PM,8:17 PM,8:47 PM,9:17 PM,9:47 PM,10:17 PM,10:47 PM,11:17 PM,11:47 PM,12:17 AM
Willow Rd. at Willow Road P.S,2004,-,5:47 AM,6:17 AM,6:47 AM,7:02 AM,7:22 AM,7:42 AM,8:02 AM,8:22 AM,8:42 AM,9:02 AM,9:22 AM,9:42 AM,10:02 AM,10:17 AM,10:47 AM,11:17 AM,11:47 AM,12:17 PM,12:47 PM,1:17 PM,1:47 PM,2:02 PM,2:22 PM,2:42 PM,3:02 PM,3:22 PM,3:42 PM,4:02 PM,4:22 PM,4:42 PM,5:02 PM,5:22 PM,5:42 PM,6:02 PM,6:17 PM,6:47 PM,7:17 PM,7:47 PM,8:17 PM,8:47 PM,9:17 PM,9:47 PM,10:17 PM,10:47 PM,11:17 PM,11:47 PM,12:17 AM
Willow West Mall,2005,-,5:54 AM,6:24 AM,6:54 AM,7:09 AM,7:29 AM,7:49 AM,8:09 AM,8:29 AM,8:49 AM,9:09 AM,9:29 AM,9:49 AM,10:09 AM,10:24 AM,10:54 AM,11:24 AM,11:54 AM,12:24 PM,12:54 PM,1:24 PM,1:54 PM,2:09 PM,2:29 PM,2:49 PM,3:09 PM,3:29 PM,3:49 PM,4:09 PM,4:29 PM,4:49 PM,5:09 PM,5:29 PM,5:49 PM,6:09 PM,6:24 PM,6:52 PM,7:24 PM,7:54 PM,8:24 PM,8:54 PM,9:24 PM,9:54 PM,10:24 PM,10:54 PM,11:24 PM,11:54 PM,12:24 AM
Willow Rd. at Marksam Rd. ,2006,-,5:54 AM,6:24 AM,6:54 AM,7:09 AM,7:29 AM,7:49 AM,8:09 AM,8:29 AM,8:49 AM,9:09 AM,9:29 AM,9:49 AM,10:09 AM,10:24 AM,10:54 AM,11:24 AM,11:54 AM,12:24 PM,12:54 PM,1:24 PM,1:54 PM,2:09 PM,2:29 PM,2:49 PM,3:09 PM,3:29 PM,3:49 PM,4:09 PM,4:29 PM,4:49 PM,5:09 PM,5:29 PM,5:49 PM,6:09 PM,6:24 PM,6:52 PM,7:24 PM,7:54 PM,8:24 PM,8:54 PM,9:24 PM,9:54 PM,10:24 PM,10:54 PM,11:24 PM,11:54 PM,12:24 AM
Willow Rd. at Westwood Public School,2007,-,5:54 AM,6:24 AM,6:54 AM,7:09 AM,7:29 AM,7:49 AM,8:09 AM,8:29 AM,8:49 AM,9:09 AM,9:29 AM,9:49 AM,10:09 AM,10:24 AM,10:54 AM,11:24 AM,11:54 AM,12:24 PM,12:54 PM,1:24 PM,1:54 PM,2:09 PM,2:29 PM,2:49 PM,3:09 PM,3:29 PM,3:49 PM,4:09 PM,4:29 PM,4:49 PM,5:09 PM,5:29 PM,5:49 PM,6:09 PM,6:24 PM,6:52 PM,7:24 PM,7:54 PM,8:24 PM,8:54 PM,9:24 PM,9:54 PM,10:24 PM,10:54 PM,11:24 PM,11:54 PM,12:24 AM
Willow Rd. at Westwood Rd. ,2008,-,5:54 AM,6:24 AM,6:54 AM,7:09 AM,7:29 AM,7:49 AM,8:09 AM,8:29 AM,8:49 AM,9:09 AM,9:29 AM,9:49 AM,10:09 AM,10:24 AM,10:54 AM,11:24 AM,11:54 AM,12:24 PM,12:54 PM,1:24 PM,1:54 PM,2:09 PM,2:29 PM,2:49 PM,3:09 PM,3:29 PM,3:49 PM,4:09 PM,4:29 PM,4:49 PM,5:09 PM,5:29 PM,5:49 PM,6:09 PM,6:24 PM,6:52 PM,7:24 PM,7:54 PM,8:24 PM,8:54 PM,9:24 PM,9:54 PM,10:24 PM,10:54 PM,11:24 PM,11:54 PM,12:24 AM
577  Willow Rd. at Church,2009,-,5:54 AM,6:24 AM,6:54 AM,7:09 AM,7:29 AM,7:49 AM,8:09 AM,8:29 AM,8:49 AM,9:09 AM,9:29 AM,9:49 AM,10:09 AM,10:24 AM,10:54 AM,11:24 AM,11:54 AM,12:24 PM,12:54 PM,1:24 PM,1:54 PM,2:09 PM,2:29 PM,2:49 PM,3:09 PM,3:29 PM,3:49 PM,4:09 PM,4:29 PM,4:49 PM,5:09 PM,5:29 PM,5:49 PM,6:09 PM,6:24 PM,6:52 PM,7:24 PM,7:54 PM,8:24 PM,8:54 PM,9:24 PM,9:54 PM,10:24 PM,10:54 PM,11:24 PM,11:54 PM,12:24 AM
Willow Rd. at Flaherty Dr.,2010,-,5:54 AM,6:24 AM,6:54 AM,7:09 AM,7:29 AM,7:49 AM,8:09 AM,8:29 AM,8:49 AM,9:09 AM,9:29 AM,9:49 AM,10:09 AM,10:24 AM,10:54 AM,11:24 AM,11:54 AM,12:24 PM,12:54 PM,1:24 PM,1:54 PM,2:09 PM,2:29 PM,2:49 PM,3:09 PM,3:29 PM,3:49 PM,4:09 PM,4:29 PM,4:49 PM,5:09 PM,5:29 PM,5:49 PM,6:09 PM,6:24 PM,6:52 PM,7:24 PM,7:54 PM,8:24 PM,8:54 PM,9:24 PM,9:54 PM,10:24 PM,10:54 PM,11:24 PM,11:54 PM,12:24 AM
