stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding
1628,Southgate Dr. at Corporate Rd.,43.49189799,-80.20834262,2
1629,Southgate Dr. at Admiral Pl.,43.49060831,-80.20652113,2
1630,829 Southgate Dr.,43.48964253,-80.20404233,2
1631,300 Clair (Water Tower),43.49255053,-80.20005695,2
1632,Bishop Macdonell High School,43.49552026,-80.19520584,1
1633,Gosling Gardens at Clair Rd. W.,43.49928999,-80.19154365,1
1634,Gosling Garden Park,43.5013149,-80.1929509,2
1635,Gosling Garden at Clairfields Dr. W. ,43.50348737,-80.19588367,1
1636,Gordon St. at Westminster Woods,43.50573838,-80.19429516,1
1637,Gordon @ Lowes,43.50912871,-80.19561043,1
1638,Gordon St. at Continuing Education,43.51174152,-80.19687972,1
1639,Gordon St. at Arkell Rd. ,43.51400808,-80.19962968,1
1640,Gordon St. at Valley Rd.,43.51662322,-80.20323103,1
1641,Gordon St. at Landsdown Dr.,43.51847832,-80.20578266,1
1642,Gordon St. at Harts Lane,43.51960611,-80.20741157,1
1643,1030 Gordon St.,43.52086993,-80.20996508,1
1644,Gordon St. at Kortright Rd. ,43.52237814,-80.2130396,1
1645,Gordon St. at Hands Dr.,43.52424327,-80.21686318,1
1646,Gordon St. at Monticello Cres. ,43.52577792,-80.22175491,1
1647,Gordon St. at South Ring Rd.,43.52756501,-80.22600064,1
1648,Gordon St. at Vet College,43.53093304,-80.23077444,1
1649,Gordon St. at Macdonald Stewart Art Centre,43.53280951,-80.23326567,1
1650,Gordon St. at Dormie Lane,43.53694933,-80.23920332,1
1651,Gordon St. at Water St.,43.5382034,-80.24098329,1
1652,Wellington St. at Wellington Plaza ,43.54191661,-80.24386551,1
1653,Wyndham St. at Fountain St.,43.54341693,-80.24535813,1
1654,Guelph Central Station,43.54513974,-80.24603139,1
2000,Guelph Central Station,43.54500418,-80.24626565,1
2001,Woolwich St. at Norwich St. E.,43.54878505,-80.25493817,1
2002,221 London Rd. New Stop,43.54541986,-80.27151309,2
2003,Willow Rd. at Dawson Rd.,43.54281965,-80.27510896,1
2004,Willow Rd. at Willow Road P.S,43.53979392,-80.27926574,1
2005,Willow West Mall,43.53393184,-80.2873023,1
2006,Willow Rd. at Marksham Rd. New Stop,43.53139354,-80.29069484,2
2007,Willow Rd. at Westwood Public School,43.52761766,-80.29658203,1
2008,Willow Rd. at Westwood Rd. New Stop,43.53056806,-80.30363281,2
2009,577  Willow Rd. at Church,43.53278769,-80.30632807,2
2010,Willow Rd. at Flaherty Dr.,43.53494816,-80.30924292,2
2011,Elmira Rd N. at Flaherty Dr.,43.53791211,-80.31334306,1
2012,Elmira Rd. N. at Independence Pl.,43.53577791,-80.31787281,2
2013,Elmira Rd. at Massey Rd.,43.53345782,-80.32229138,2
2014,Elmira Rd. at Power Corp,43.53613408,-80.32258822,2
2015,925 Woodlawn Rd. ,43.53756602,-80.32055741,2
2016,Across from 498 Governors Rd. ,43.53873713,-80.31891603,2
2017,110 Malcolm Rd. ,43.54009734,-80.31702372,2
2018,14 Malcolm Rd.,43.53376234,-80.31900178,2
2019,2 Malcolm Rd. ,43.53124537,-80.31556893,2
2020,450 Michener Rd. ,43.53211407,-80.31370412,2
2021,Michener Rd. at Minto Rd. New Stop,43.53440594,-80.31042187,2
2022,530 Massey Rd. ,43.53634511,-80.30772284,2
2023,446 Massey Rd.,43.5390337,-80.30399659,2
2024,400 Massey Rd. ,43.54049988,-80.30201561,2
2025,265 Massey Rd. ,43.54509763,-80.30773292,2
2026,Across from 251 Massey Rd.,43.54930269,-80.30619927,2
2027,Imperial Rd. at Woodlawn Rd. W ,43.55374971,-80.30009782,2
2028,Imperial Opposite Galaxy Cinema New Stop,43.55082532,-80.29562902,2
2029,190 Curtis Dr. ,43.54781121,-80.29139979,2
2030,Curtis Dr.  at Regal Rd. Needs Hardware,43.545669,-80.2884449,2
2031,Curtis Dr. at Silvercreek Pkwy.,43.54287882,-80.28457989,2
2032,Silvercreek Pkwy. past Woodlawn Rd.,43.53979061,-80.28029973,1
2033,Silvercreek Pkwy N. at Campbell Rd.,43.54019833,-80.27832863,2
2034,254 Silvercreek Pkwy.,43.54271646,-80.27492338,2
2035,214 Silvercreek Pkwy. ,43.54394429,-80.27320527,1
2036,130 Silvercreek Pwky.,43.54517459,-80.27150857,2
2037,Opposite Willow West Mall,43.54227677,-80.26486958,1
2038,158 Willow Rd.,43.54246125,-80.25848435,2
2039,66 Willow Rd.,43.54352106,-80.25639783,1
2040,26 Willow Rd.,43.54526981,-80.25254936,1
2041,200 Edinburgh Rd. N.,43.54554486,-80.24898285,2
2042,Paisley St. at Yorkshire St. N.,43.542622,-80.258259,1
2043,Paisley St. at Glasgow St. ,43.543326,-80.256844,1
2044,Paisley St. at Norfolk St.  ,43.54539,-80.252122,1
2045,"St George's Square, IF Shoe store",43.545578,-80.249017,1
2046,Guelph Central Station,43.54518,-80.24605,1
5000,University Dep,43.529524,-80.224506,1
5001,Stone Rd. W. at Gordon St. ,43.52993583,-80.22496647,1
5002,Stone Rd. W. at Fire Hall,43.52405,-80.228457,1
5003,Stone Rd. W. at Zellers,43.52616133,-80.2255375,1
5004,Stone Rd. W. Edinburgh Rd. S.,43.5240652,-80.22836141,1
5005,Stone Rd. W. at Stone Rd Mall,43.52204283,-80.23114714,1
5006,Stone Rd. W. at Scottsdale Dr.,43.52036554,-80.23335318,1
5007,Stone Rd Mall,43.5174938,-80.23717685,1
5008,Scottsdale Dr. at Wilsonview Ave.,43.51590617,-80.23930203,1
5009,Wilsonview Ave.,43.5190299,-80.23915911,1
5010,Edinburgh Rd at Chancellors Way,43.52091541,-80.23976313,1
5011,Stone Rd. opposite Zellers,43.52202265,-80.23881158,1
5012,95 Stone Rd. W.,43.52149586,-80.23624652,1
5013,University Centre,43.52163401,-80.2312634,1
5600,University Dep,43.52906346,-80.22384104,1
5601,Stone at Victoria,43.53959852,-80.2072394,2
5602,1035 Victoria,43.53349043,-80.19852499,2
5603,Victoria @ Summerfield,43.5199824,-80.18012912,2
5604,Frederick Dr. at Waterford Dr. ,43.5149383,-80.17552784,1
5605,264 Colonial,43.51634167,-80.17971208,1
5606,Colonial North of Marsh,43.51949481,-80.18433006,1
5607,Colonial north of Bard Bv.,43.52082876,-80.18687969,1
5608,Gordon St. at Arkell Rd. ,43.51398773,-80.1995994,1
5609,Gordon @ Valley,43.51658966,-80.20318579,1
5610,Gordon St. at Landsdown Dr.,43.5184521,-80.20575349,1
5611,Gordon St. at Harts Lane,43.51959377,-80.20740115,1
5612,1030 Gordon St.,43.52085831,-80.20995189,1
5613,Gordon St. at Kortright Rd. ,43.52239796,-80.21307276,1
5614,Gordon @ Hands,43.52425072,-80.21687132,1
5615,Gordon St. at Monticello Cres. ,43.52578363,-80.22175699,1
5616,University Arr,43.54518,-80.24605,1
5617,Victoria at Arkell,43.52414366,-80.18583394,2
5618,Victoria Rd. S at Katemore Dr.,43.517774,-80.176994,1
5700,University Dep,43.5300871,-80.22514689,1
5701,Gordon St. at Stone Rd. W. ,43.52734677,-80.22615966,2
5702,Gordon St. at Harvard Rd.,43.52544175,-80.22118988,1
5703,Harvard Rd. at Shakespeare Arms,43.52403582,-80.2228434,1
5704,Harvard Rd. at Princeton Pl.,43.5204771,-80.22858985,2
5705,Harvard Rd. at Youngman Dr. ,43.51812986,-80.22837459,2
5706,Ironwood Rd. at Reid Crt.,43.51523937,-80.23184091,2
5707,711 Scottsdale Dr.,43.51304815,-80.23445164,1
5708,632 Scottsdale Dr.,43.51324305,-80.2355045,1
5709,Scottsdale @ Stone,43.51475093,-80.23819991,1
5710,372 Stone Rd. W.,43.51614704,-80.2385857,1
5711,Stone Rd. W. at Edinburgh Rd. S. ,43.51758919,-80.23664118,1
5712,Stone Rd. opposite Zellers,43.51946083,-80.23418163,1
5713,95 Stone Rd. W.,43.52163401,-80.2312634,1
5714,University Arr,43.52467,-80.22718783,1
5800,University Dep,43.52993825,-80.2249667,1
5801,Stone Rd. W. at Gordon St. ,43.52616133,-80.2255375,1
5802,Stone Rd. W. at Fire Hall,43.52409119,-80.22834502,1
5803,Stone Rd. W. at Zellers,43.52204283,-80.23114714,1
5804,583 Edinburgh Rd. S.,43.51649308,-80.22924536,2
5805,685 Edinburgh Rd. S.,43.51569383,-80.22375803,2
5806,Kortright Rd. at Edinburgh Rd. S.,43.51428978,-80.2198898,1
5807,Kortright Rd. at Rickson Ave.,43.51654354,-80.21686687,1
5808,Kortright Rd. opposite Yewholme Dr.,43.51974786,-80.21478208,2
5809,Gordon St. at Kortright Rd.,43.52240977,-80.21307925,1
5810,Gordon St. at Hands Dr.,43.5242512,-80.21686896,1
5811,Gordon St. at Monticello Cres.,43.52579309,-80.22175613,1
5812,University Centre,43.529524,-80.224506,1
